BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks,Year,InningsRuns,ClientPlayerID
Mohammed Siraj,,,RCB,Royal Challengers Bangalore,11,,11,,63,,367,90,,,33.36,22.36,22.36,,,8.95,41.0,,,,2,1,,,,,11,,,,Apr-32,Apr-32,0,,0,0,,0.0,2018,,
Lungi Ngidi ,,,CSK,Chennai Super Kings,7,,7,,99,,156,79,,,14.18,14.18,14.18,,,6.0,26.0,,,,0,0,,,,,11,,,,04-Oct,04-Oct,2,,1,0,,0.0,2018,,
Krishnappa Gowtham,,,RR,Rajasthan Royals,15,,15,,179,,312,90,,,28.36,21.81,21.81,,,7.8,40.0,,,,9,9,,,,,11,,,,02-Dec,02-Dec,0,,0,0,,0.0,2018,,
Ravindra Jadeja,,,CSK,Chennai Super Kings,16,,14,,46,,303,82,,,27.54,22.36,22.36,,,7.39,41.0,,,,3,4,,,,,11,,,,May-16,May-16,0,,0,0,,0.0,2018,,
Jaydev Unadkat,,,RR,Mumbai Indians,15,,15,,180,,486,97,,,44.18,27.45,27.45,,,9.65,50.0,,,,6,1,,,,,11,,,,May-25,May-25,0,,0,0,,0.0,2018,,
Shreyas Gopal,,,RR,Rajasthan Royals,11,,10,,192,,236,68,,,21.45,16.9,16.9,,,7.61,31.0,,,,5,0,,,,,11,,,,Apr-16,Apr-16,0,,1,0,,0.0,2018,,
Deepak Chahar,,,CSK,Chennai Super Kings,12,,12,,91,,278,117,,,27.8,22.9,22.9,,,7.28,38.0,,,,1,4,,,,,10,,,,Apr-13,Apr-13,1,,0,0,,0.0,2018,,
Prasidh Krishna,,,KKR,Kolkata Knight Riders,7,,7,,150,,260,60,,,26.0,16.8,16.8,,,9.28,28.0,,,,0,0,,,,,10,,,,Apr-30,Apr-30,0,,1,0,,0.0,2018,,
Ravichandran Ashwin,,,PBKS,Punjab Kings,14,,14,,45,,410,77,,,41.0,30.4,30.4,,,8.09,50.0,,,,7,5,,,,,10,,,,Apr-34,Apr-34,0,,0,0,,0.0,2018,,
Ben Laughlin,,,RR,Rajasthan Royals,7,,7,,453,,211,34,,,23.44,14.0,14.0,,,10.04,21.0,,,,0,0,,,,,9,,,,Feb-15,Feb-15,0,,0,0,,0.0,2018,,
