BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks,Year,InningsRuns,ClientPlayerID
Harry Gurney,,,KKR,Kolkata Knight Riders,8,,8,,144,,238,51,,,34.0,23.14,23.14,,,8.81,27.0,,,,0,0,,,,,7,,,,2/25,2/25,0,,0,0,,0.0,2019,,
Hardus Viljoen,,,PBKS,Punjab Kings,6,,6,,129,,222,47,,,31.71,19.71,19.71,,,9.65,23.0,,,,0,0,,,,,7,,,,2/39,2/39,0,,0,0,,0.0,2019,,
Siddarth Kaul,,,SRH,Sunrisers Hyderabad,7,,7,,64,,242,56,,,40.33,27.0,27.0,,,8.96,27.0,,,,0,0,,,,,6,,,,4/29,4/29,0,,0,0,,0.0,2019,,
Moeen Ali,,,RCB,Royal Challengers Bangalore,11,,9,,206,,169,63,,,28.16,25.0,25.0,,,6.76,25.0,,,,16,17,,,,,6,,,,3/7,3/7,0,,0,0,,0.0,2019,,
Alzarri Joseph ,,,MI,Mumbai Indians,3,,3,,229,,87,25,,,14.5,8.66,8.66,,,10.03,8.0,,,,2,0,,,,,6,,,,6/12,6/12,1,,0,1,,0.0,2019,,
Dhawal Kulkarni,,,RR,Rajasthan Royals,10,,10,,178,,335,77,,,55.83,35.0,35.0,,,9.57,35.0,,,,1,0,,,,,6,,,,4/14,4/14,1,,0,0,,0.0,2019,,
Ben Stokes,,,RR,Rajasthan Royals,9,,6,,177,,189,31,,,31.5,16.83,16.83,,,11.22,17.0,,,,8,4,,,,,6,,,,3/15,3/15,0,,0,0,,0.0,2019,,
Jason Behrendorff,,,MI,Mumbai Indians,5,,5,,4,,165,54,,,33.0,22.8,22.8,,,8.68,19.0,,,,0,0,,,,,5,,,,2/22,2/22,0,,0,0,,0.0,2019,,
Trent Boult,,,DC,Delhi Capitals,5,,5,,66,,163,44,,,32.6,22.8,22.8,,,8.57,19.0,,,,0,1,,,,,5,,,,4/18,4/18,0,,0,0,,0.0,2019,,
Oshane Thomas,,,RR,Rajasthan Royals,4,,4,,186,,79,22,,,15.8,12.0,12.0,,,7.9,10.0,,,,0,0,,,,,5,,,,2/6,2/6,0,,0,0,,0.0,2019,,
Murugan Ashwin,,,PBKS,Punjab Kings,10,,10,,135,,255,59,,,51.0,40.8,40.8,,,7.5,34.0,,,,0,0,,,,,5,,,,3/21,3/21,0,,0,0,,0.0,2019,,
Washington Sundar,,,RCB,Royal Challengers Bangalore,3,,3,,20,,74,21,,,18.5,13.5,13.5,,,8.22,9.0,,,,0,0,,,,,4,,,,3/16,3/16,0,,0,0,,0.0,2019,,
Dale Steyn,,,RCB,Royal Challengers Bangalore,2,,2,,230,,69,20,,,17.25,12.0,12.0,,,8.62,8.0,,,,0,0,,,,,4,,,,3/11,3/11,0,,0,0,,0.0,2019,,
Ish Sodhi,,,RR,Rajasthan Royals,2,,2,,76,,67,15,,,16.75,10.75,10.75,,,9.34,7.0,,,,0,0,,,,,4,,,,3/26,3/26,1,,0,0,,0.0,2019,,
Prasidh Krishna,,,KKR,Kolkata Knight Riders,11,,11,,150,,377,95,,,94.25,60.5,60.5,,,9.34,40.0,,,,0,0,,,,,4,,,,4/30,4/30,0,,0,0,,0.0,2019,,
Kuldeep Yadav,,,KKR,Kolkata Knight Riders,9,,9,,14,,286,54,,,71.5,49.5,49.5,,,8.66,33.0,,,,1,0,,,,,4,,,,4/20,4/20,0,,0,0,,0.0,2019,,
Mitchell Santner,,,CSK,Chennai Super Kings,4,,4,,75,,94,37,,,23.5,21.0,21.0,,,6.71,14.0,,,,0,3,,,,,4,,,,2/13,2/13,0,,0,0,,0.0,2019,,
Varun Aaron,,,RR,Rajasthan Royals,5,,5,,197,,116,28,,,29.0,18.0,18.0,,,9.66,12.0,,,,0,0,,,,,4,,,,3/16,3/16,1,,0,0,,0.0,2019,,
Mujeeb Ur Rahman,,,PBKS,Punjab Kings,5,,5,,134,,191,37,,,63.66,38.0,38.0,,,10.05,19.0,,,,0,0,,,,,3,,,,3/27,3/27,0,,0,0,,0.0,2019,,
Arshdeep Singh,,,PBKS,Punjab Kings,3,,3,,125,,109,20,,,36.33,20.0,20.0,,,10.9,10.0,,,,0,0,,,,,3,,,,5/32,5/32,0,,0,0,,0.0,2019,,
Nitish Rana,,,KKR,Kolkata Knight Riders,14,,6,,148,,72,15,,,24.0,16.0,16.0,,,9.0,8.0,,,,27,21,,,,,3,,,,2/11,2/11,0,,0,0,,0.0,2019,,
Ankit Rajpoot,,,PBKS,Punjab Kings,4,,4,,124,,152,35,,,50.66,32.0,32.0,,,9.5,16.0,,,,0,0,,,,,3,,,,5/14,5/14,0,,0,0,,0.0,2019,,
Pawan Negi,,,RCB,Royal Challengers Bangalore,7,,4,,208,,102,25,,,34.0,22.33,22.33,,,9.13,11.0,,,,1,0,,,,,3,,,,4/18,4/18,0,,0,0,,0.0,2019,,
Andrew Tye,,,PBKS,Punjab Kings,6,,6,,30,,233,30,,,77.66,44.0,44.0,,,10.59,22.0,,,,0,0,,,,,3,,,,5/17,5/17,0,,0,0,,0.0,2019,,
Mitchell McClenaghan,,,MI,Mumbai Indians,5,,5,,0,,142,45,,,47.33,36.0,36.0,,,7.88,18.0,,,,2,0,,,,,3,,,,4/21,4/21,1,,0,0,,0.0,2019,,
Shakib Al Hasan,,,SRH,Sunrisers Hyderabad,3,,3,,222,,95,22,,,47.5,32.5,32.5,,,8.76,11.0,,,,0,0,,,,,2,,,,3/17,3/17,0,,0,0,,0.0,2019,,
Shahbaz Nadeem,,,SRH,Sunrisers Hyderabad,3,,3,,221,,90,10,,,45.0,27.0,27.0,,,10.0,9.0,,,,0,0,,,,,2,,,,3/16,3/16,0,,0,0,,0.0,2019,,
Scott Kuggeleijn,,,CSK,Chennai Super Kings,2,,2,,84,,71,17,,,35.5,24.0,24.0,,,8.87,8.0,,,,0,0,,,,,2,,,,2/37,2/37,0,,0,0,,0.0,2019,,
Sandeep Warrier,,,KKR,Kolkata Knight Riders,3,,3,,228,,85,30,,,42.5,36.0,36.0,,,7.08,12.0,,,,0,0,,,,,2,,,,2/31,2/31,0,,0,0,,0.0,2019,,
Marcus Stoinis,,,RCB,Royal Challengers Bangalore,10,,6,,23,,145,32,,,72.5,50.0,50.0,,,8.7,16.0,,,,14,10,,,,,2,,,,4/15,4/15,0,,0,0,,0.0,2019,,
Riyan Parag,,,RR,Rajasthan Royals,7,,7,,189,,121,18,,,60.5,42.0,42.0,,,8.64,14.0,,,,17,5,,,,,2,,,,1/10,1/10,0,,0,0,,0.0,2019,,
Harshal Patel,,,DC,Delhi Capitals,2,,2,,114,,77,15,,,38.5,24.0,24.0,,,9.62,8.0,,,,0,0,,,,,2,,,,5/27,5/27,0,,0,0,,0.0,2019,,
Rahul Tewatia,,,DC,Delhi Capitals,5,,3,,120,,42,19,,,21.0,19.0,19.0,,,6.63,6.0,,,,2,1,,,,,2,,,,3/18,3/18,0,,0,0,,0.0,2019,,
Jagadeesha Suchith,,,DC,Delhi Capitals,1,,1,,231,,28,11,,,14.0,12.0,12.0,,,7.0,4.0,,,,0,0,,,,,2,,,,2/14,2/14,0,,0,0,,0.0,2019,,
Lockie Ferguson,,,KKR,Kolkata Knight Riders,5,,5,,69,,183,30,,,91.5,51.0,51.0,,,10.76,17.0,,,,0,0,,,,,2,,,,3/15,3/15,0,,0,0,,0.0,2019,,
Abhishek Sharma,,,SRH,Sunrisers Hyderabad,3,,2,,212,,21,1,,,21.0,12.0,12.0,,,10.5,2.0,,,,1,0,,,,,1,,,,2/4,2/4,0,,0,0,,0.0,2019,,
Deepak Hooda,,,SRH,Sunrisers Hyderabad,11,,2,,215,,21,1,,,21.0,12.0,12.0,,,10.5,2.0,,,,5,1,,,,,1,,,,2/16,2/16,0,,0,0,,0.0,2019,,
Vijay Shankar,,,SRH,Sunrisers Hyderabad,15,,5,,61,,70,14,,,70.0,48.0,48.0,,,8.75,8.0,,,,11,12,,,,,1,,,,2/19,2/19,0,,0,0,,0.0,2019,,
Varun Chakaravarthy,,,PBKS,Punjab Kings,1,,1,,140,,35,8,,,35.0,18.0,18.0,,,11.66,3.0,,,,0,0,,,,,1,,,,5/20,5/20,0,,0,0,,0.0,2019,,
Mayank Markande,,,MI,Mumbai Indians,3,,3,,87,,59,11,,,59.0,36.0,36.0,,,9.83,6.0,,,,1,0,,,,,1,,,,4/23,4/23,0,,0,0,,0.0,2019,,
Kulwant Khejroliya,,,RCB,Royal Challengers Bangalore,2,,2,,204,,47,10,,,47.0,30.0,30.0,,,9.4,5.0,,,,0,0,,,,,1,,,,2/33,2/33,0,,0,0,,0.0,2019,,
Krishnappa Gowtham,,,RR,Rajasthan Royals,7,,7,,179,,166,38,,,166.0,120.0,120.0,,,8.3,20.0,,,,1,1,,,,,1,,,,2/12,2/12,0,,0,0,,0.0,2019,,
Tim Southee,,,RCB,Royal Challengers Bangalore,3,,3,,77,,118,19,,,118.0,54.0,54.0,,,13.11,9.0,,,,0,0,,,,,1,,,,3/24,3/24,0,,0,0,,0.0,2019,,
Karn Sharma,,,CSK,Chennai Super Kings,1,,1,,98,,33,4,,,33.0,17.0,17.0,,,11.64,3.0,,,,0,0,,,,,1,,,,4/16,4/16,0,,0,0,,0.0,2019,,
Stuart Binny,,,RR,Rajasthan Royals,8,,5,,195,,44,13,,,44.0,42.0,42.0,,,6.28,7.0,,,,5,4,,,,,1,,,,2/14,2/14,0,,0,0,,0.0,2019,,
Anukul Roy,,,MI,Mumbai Indians,1,,1,,160,,11,4,,,11.0,12.0,12.0,,,5.5,2.0,,,,0,0,,,,,1,,,,1/11,1/11,0,,0,0,,0.0,2019,,
Mohit Sharma,,,CSK,Chennai Super Kings,1,,1,,100,,27,8,,,27.0,18.0,18.0,,,9.0,3.0,,,,0,0,,,,,1,,,,4/14,4/14,0,,0,0,,0.0,2019,,
Sherfane Rutherford,,,DC,Delhi Capitals,7,,6,,122,,59,8,,,59.0,41.0,41.0,,,8.63,7.0,,,,2,7,,,,,1,,,,1/6,1/6,0,,0,0,,0.0,2019,,
Ben Cutting,,,MI,Mumbai Indians,3,,1,,162,,27,2,,,27.0,12.0,12.0,,,13.5,2.0,,,,1,1,,,,,1,,,,2/20,2/20,0,,0,0,,0.0,2019,,
Jayant Yadav,,,MI,Mumbai Indians,2,,2,,165,,50,17,,,50.0,42.0,42.0,,,7.14,7.0,,,,0,0,,,,,1,,,,1/23,1/23,0,,0,0,,0.0,2019,,
Prithvi Raj Yarra,,,KKR,Kolkata Knight Riders,2,,2,,151,,57,8,,,57.0,30.0,30.0,,,11.4,5.0,,,,0,0,,,,,1,,,,1/29,1/29,0,,0,0,,0.0,2019,,
Kagiso Rabada,,,DC,Delhi Capitals,17,,17,,116,,548,156,,,18.26,13.13,13.13,,,8.34,65.0,,,,4,2,,,,,30,,,,4/21,4/21,1,,2,0,,0.0,2020,,
Jasprit Bumrah,,,MI,Mumbai Indians,15,,15,,9,,404,175,,,14.96,13.33,13.33,,,6.73,60.0,,,,0,0,,,,,27,,,,4/14,4/14,2,,2,0,,0.0,2020,,
Trent Boult,,,MI,Mumbai Indians,15,,15,,66,,457,157,,,18.28,13.76,13.76,,,7.97,57.0,,,,0,0,,,,,25,,,,4/18,4/18,3,,1,0,,0.0,2020,,
Anrich Nortje,,,DC,Delhi Capitals,16,,16,,142,,512,160,,,23.27,16.63,16.63,,,8.39,61.0,,,,0,0,,,,,22,,,,3/33,3/33,0,,0,0,,0.0,2020,,
Yuzvendra Chahal,,,RCB,Royal Challengers Bangalore,15,,15,,10,,405,118,,,19.28,16.33,16.33,,,7.08,57.0,,,,0,0,,,,,21,,,,4/25,4/25,0,,0,0,,0.0,2020,,
Mohammad Shami,,,PBKS,Punjab Kings,14,,14,,47,,460,140,,,23.0,16.1,16.1,,,8.57,53.0,,,,0,0,,,,,20,,,,3/15,3/15,0,,0,0,,0.0,2020,,
Jofra Archer,,,RR,Mumbai Indians,14,,14,,181,,365,175,,,18.25,16.7,16.7,,,6.55,55.0,,,,5,10,,,,,20,,,,3/15,3/15,0,,0,0,,0.0,2020,,
Rashid Khan,,,SRH,Sunrisers Hyderabad,16,,16,,218,,344,168,,,17.2,19.2,19.2,,,5.37,64.0,,,,3,2,,,,,20,,,,3/19,3/19,1,,0,0,,0.0,2020,,
Varun Chakaravarthy,,,KKR,Kolkata Knight Riders,13,,13,,140,,356,111,,,20.94,18.35,18.35,,,6.84,52.0,,,,0,0,,,,,17,,,,5/20,5/20,0,,0,1,,0.0,2020,,
T Natarajan,,,SRH,Sunrisers Hyderabad,16,,16,,224,,504,136,,,31.5,23.56,23.56,,,8.02,63.0,,,,0,0,,,,,16,,,,2/24,2/24,1,,0,0,,0.0,2020,,
Rahul Chahar,,,MI,Mumbai Indians,15,,15,,171,,433,104,,,28.86,21.2,21.2,,,8.16,53.0,,,,0,0,,,,,15,,,,4/27,4/27,0,,0,0,,0.0,2020,,
Jason Holder,,,SRH,Sunrisers Hyderabad,7,,7,,263,,233,58,,,16.64,12.0,12.0,,,8.32,28.0,,,,5,3,,,,,14,,,,4/52,4/52,0,,0,0,,0.0,2020,,
Sandeep Sharma,,,SRH,Sunrisers Hyderabad,13,,13,,220,,374,119,,,26.71,22.28,22.28,,,7.19,52.0,,,,1,0,,,,,14,,,,4/20,4/20,0,,0,0,,0.0,2020,,
Marcus Stoinis,,,DC,Delhi Capitals,17,,13,,23,,283,50,,,21.76,13.69,13.69,,,9.53,29.0,,,,31,16,,,,,13,,,,4/15,4/15,0,,0,0,,0.0,2020,,
Ravichandran Ashwin,,,DC,Delhi Capitals,15,,15,,45,,391,101,,,30.07,23.53,23.53,,,7.66,51.0,,,,3,1,,,,,13,,,,4/34,4/34,0,,0,0,,0.0,2020,,
Sam Curran,,,CSK,Chennai Super Kings,14,,13,,138,,344,91,,,26.46,19.38,19.38,,,8.19,42.0,,,,12,12,,,,,13,,,,4/11,4/11,0,,0,0,,0.0,2020,,
Pat Cummins,,,KKR,Kolkata Knight Riders,14,,14,,33,,409,140,,,34.08,26.0,26.0,,,7.86,52.0,,,,9,8,,,,,12,,,,4/34,4/34,0,,1,0,,0.0,2020,,
Ravi Bishnoi,,,PBKS,Punjab Kings,14,,14,,520,,376,122,,,31.33,25.5,25.5,,,7.37,51.0,,,,1,0,,,,,12,,,,3/24,3/24,1,,0,0,,0.0,2020,,
Deepak Chahar,,,CSK,Chennai Super Kings,14,,14,,91,,396,118,,,33.0,26.0,26.0,,,7.61,52.0,,,,0,0,,,,,12,,,,4/13,4/13,2,,0,0,,0.0,2020,,
Mohammed Siraj,,,RCB,Royal Challengers Bangalore,9,,9,,63,,236,77,,,21.45,14.81,14.81,,,8.68,27.0,,,,2,0,,,,,11,,,,4/32,4/32,2,,0,0,,0.0,2020,,
James Pattinson,,,MI,Mumbai Indians,10,,10,,545,,320,78,,,29.09,19.36,19.36,,,9.01,35.0,,,,2,0,,,,,11,,,,2/19,2/19,0,,0,0,,0.0,2020,,
Chris Morris,,,RCB,Royal Challengers Bangalore,9,,9,,112,,210,91,,,19.09,17.27,17.27,,,6.63,31.0,,,,2,3,,,,,11,,,,4/23,4/23,1,,1,0,,0.0,2020,,
Shreyas Gopal,,,RR,Rajasthan Royals,14,,14,,192,,427,86,,,42.7,30.0,30.0,,,8.54,50.0,,,,3,0,,,,,10,,,,4/16,4/16,0,,0,0,,0.0,2020,,
Murugan Ashwin,,,PBKS,Punjab Kings,9,,9,,135,,235,70,,,23.5,18.9,18.9,,,7.46,31.0,,,,0,0,,,,,10,,,,3/21,3/21,0,,0,0,,0.0,2020,,
Shardul Thakur,,,CSK,Chennai Super Kings,9,,9,,105,,275,68,,,27.5,19.4,19.4,,,8.5,32.0,,,,0,0,,,,,10,,,,3/19,3/19,0,,0,0,,0.0,2020,,
Rahul Tewatia,,,RR,Rajasthan Royals,14,,14,,120,,326,95,,,32.6,27.6,27.6,,,7.08,46.0,,,,13,17,,,,,10,,,,3/18,3/18,0,,0,0,,0.0,2020,,
Lungi Ngidi ,,,CSK,Chennai Super Kings,4,,4,,99,,167,35,,,18.55,10.66,10.66,,,10.43,16.0,,,,0,0,,,,,9,,,,4/10,4/10,0,,0,0,,0.0,2020,,
Kartik Tyagi,,,RR,Rajasthan Royals,10,,10,,536,,367,83,,,40.77,25.44,25.44,,,9.61,38.0,,,,0,0,,,,,9,,,,2/29,2/29,0,,0,0,,0.0,2020,,
Arshdeep Singh,,,PBKS,Punjab Kings,8,,8,,125,,218,56,,,24.22,16.55,16.55,,,8.77,25.0,,,,0,0,,,,,9,,,,5/32,5/32,1,,0,0,,0.0,2020,,
Axar Patel,,,DC,Delhi Capitals,15,,15,,110,,327,100,,,36.33,34.0,34.0,,,6.41,51.0,,,,6,8,,,,,9,,,,4/21,4/21,0,,0,0,,0.0,2020,,
Shivam Mavi,,,KKR,Kolkata Knight Riders,8,,8,,154,,212,63,,,23.55,17.33,17.33,,,8.15,26.0,,,,1,0,,,,,9,,,,4/21,4/21,2,,0,0,,0.0,2020,,
Chris Jordan,,,PBKS,Punjab Kings,9,,9,,519,,304,62,,,33.77,21.0,21.0,,,9.65,31.0,,,,2,0,,,,,9,,,,4/11,4/11,0,,0,0,,0.0,2020,,
Khaleel Ahmed,,,SRH,Sunrisers Hyderabad,7,,7,,8,,242,62,,,30.25,19.25,19.25,,,9.42,25.0,,,,0,0,,,,,8,,,,3/21,3/21,0,,0,0,,0.0,2020,,
Isuru Udana,,,RCB,Royal Challengers Bangalore,10,,10,,283,,282,49,,,35.25,21.75,21.75,,,9.72,29.0,,,,1,1,,,,,8,,,,2/41,2/41,0,,0,0,,0.0,2020,,
Washington Sundar,,,RCB,Royal Challengers Bangalore,15,,15,,20,,298,114,,,37.25,37.5,37.5,,,5.96,50.0,,,,10,2,,,,,8,,,,3/16,3/16,1,,0,0,,0.0,2020,,
Piyush Chawla,,,CSK,Chennai Super Kings,7,,7,,149,,191,37,,,31.83,21.0,21.0,,,9.09,21.0,,,,0,0,,,,,6,,,,4/17,4/17,0,,0,0,,0.0,2020,,
Navdeep Saini,,,RCB,Royal Challengers Bangalore,13,,13,,207,,379,116,,,63.16,45.66,45.66,,,8.29,45.0,,,,3,0,,,,,6,,,,2/24,2/24,1,,0,0,,0.0,2020,,
Sheldon Cottrell,,,PBKS,Punjab Kings,6,,6,,266,,176,59,,,29.33,20.0,20.0,,,8.8,20.0,,,,0,0,,,,,6,,,,2/17,2/17,1,,0,0,,0.0,2020,,
Lockie Ferguson,,,KKR,Kolkata Knight Riders,5,,5,,69,,148,48,,,24.66,19.83,19.83,,,7.46,20.0,,,,4,1,,,,,6,,,,3/15,3/15,0,,0,0,,0.0,2020,,
Ravindra Jadeja,,,CSK,Chennai Super Kings,14,,13,,46,,318,56,,,53.0,36.33,36.33,,,8.75,36.0,,,,22,11,,,,,6,,,,5/16,5/16,0,,0,0,,0.0,2020,,
Krunal Pandya,,,MI,Mumbai Indians,16,,16,,17,,380,100,,,63.33,50.16,50.16,,,7.57,50.0,,,,9,5,,,,,6,,,,3/14,3/14,0,,0,0,,0.0,2020,,
Dwayne Bravo,,,CSK,Chennai Super Kings,6,,6,,93,,180,35,,,30.0,21.0,21.0,,,8.57,21.0,,,,0,0,,,,,6,,,,4/22,4/22,0,,0,0,,0.0,2020,,
Andre Russell,,,KKR,Kolkata Knight Riders,10,,7,,141,,175,39,,,29.16,18.0,18.0,,,9.72,18.0,,,,9,9,,,,,6,,,,5/15,5/15,0,,0,0,,0.0,2020,,
Shahbaz Nadeem,,,SRH,Sunrisers Hyderabad,7,,7,,221,,178,31,,,35.6,26.4,26.4,,,8.09,22.0,,,,1,0,,,,,5,,,,3/16,3/16,0,,0,0,,0.0,2020,,
Nathan Coulter-Nile,,,MI,Mumbai Indians,7,,7,,5,,206,69,,,41.2,31.2,31.2,,,7.92,26.0,,,,4,0,,,,,5,,,,4/14,4/14,0,,0,0,,0.0,2020,,
Karn Sharma,,,CSK,Chennai Super Kings,5,,5,,98,,165,27,,,33.0,22.8,22.8,,,8.68,19.0,,,,0,0,,,,,5,,,,4/16,4/16,0,,0,0,,0.0,2020,,
Kamlesh Nagarkoti,,,KKR,Kolkata Knight Riders,10,,9,,146,,231,46,,,46.2,31.2,31.2,,,8.88,26.0,,,,1,0,,,,,5,,,,2/13,2/13,0,,0,0,,0.0,2020,,
Sunil Narine,,,KKR,Kolkata Knight Riders,10,,10,,156,,302,67,,,60.4,45.6,45.6,,,7.94,38.0,,,,10,8,,,,,5,,,,5/19,5/19,0,,0,0,,0.0,2020,,
Vijay Shankar,,,SRH,Sunrisers Hyderabad,7,,5,,61,,82,31,,,20.5,19.75,19.75,,,6.22,13.0,,,,10,1,,,,,4,,,,2/19,2/19,0,,0,0,,0.0,2020,,
Shivam Dube,,,RCB,Royal Challengers Bangalore,11,,5,,211,,73,14,,,18.25,13.5,13.5,,,8.11,9.0,,,,5,9,,,,,4,,,,2/15,2/15,0,,0,0,,0.0,2020,,
Kieron Pollard,,,MI,Mumbai Indians,16,,11,,166,,190,33,,,47.5,31.5,31.5,,,9.04,21.0,,,,15,22,,,,,4,,,,4/44,4/44,0,,0,0,,0.0,2020,,
Prasidh Krishna,,,KKR,Kolkata Knight Riders,6,,6,,150,,164,35,,,41.0,26.25,26.25,,,9.37,17.0,,,,0,0,,,,,4,,,,4/30,4/30,0,,0,0,,0.0,2020,,
Jaydev Unadkat,,,RR,Mumbai Indians,7,,7,,180,,228,35,,,57.0,34.5,34.5,,,9.91,23.0,,,,0,0,,,,,4,,,,5/25,5/25,0,,0,0,,0.0,2020,,
Bhuvneshwar Kumar,,,SRH,Sunrisers Hyderabad,4,,4,,15,,99,40,,,33.0,28.33,28.33,,,6.98,14.0,,,,0,0,,,,,3,,,,5/19,5/19,0,,0,0,,0.0,2020,,
Glenn Maxwell,,,PBKS,Punjab Kings,13,,7,,28,,169,37,,,56.33,42.0,42.0,,,8.04,21.0,,,,9,0,,,,,3,,,,2/15,2/15,0,,0,0,,0.0,2020,,
Harshal Patel,,,DC,Delhi Capitals,5,,5,,114,,134,23,,,44.66,30.0,30.0,,,8.93,15.0,,,,2,0,,,,,3,,,,5/27,5/27,0,,0,0,,0.0,2020,,
Tom Curran,,,RR,Rajasthan Royals,5,,5,,309,,208,25,,,69.33,36.33,36.33,,,11.44,18.0,,,,5,3,,,,,3,,,,3/29,3/29,0,,0,0,,0.0,2020,,
Tushar Deshpande,,,DC,Delhi Capitals,5,,5,,539,,192,29,,,64.0,34.0,34.0,,,11.29,17.0,,,,2,1,,,,,3,,,,2/37,2/37,0,,0,0,,0.0,2020,,
Amit Mishra,,,DC,Delhi Capitals,3,,3,,107,,72,17,,,24.0,20.0,20.0,,,7.2,10.0,,,,0,0,,,,,3,,,,5/17,5/17,0,,0,0,,0.0,2020,,
Ankit Rajpoot,,,RR,Rajasthan Royals,6,,6,,124,,199,34,,,99.5,51.0,51.0,,,11.7,17.0,,,,0,1,,,,,2,,,,5/14,5/14,0,,0,0,,0.0,2020,,
Siddarth Kaul,,,SRH,Sunrisers Hyderabad,1,,1,,64,,64,6,,,32.0,12.0,12.0,,,16.0,4.0,,,,0,0,,,,,2,,,,4/29,4/29,0,,0,0,,0.0,2020,,
Ben Stokes,,,RR,Rajasthan Royals,8,,6,,177,,154,24,,,77.0,45.0,45.0,,,10.26,15.0,,,,36,7,,,,,2,,,,3/15,3/15,0,,0,0,,0.0,2020,,
Adam Zampa,,,RCB,Royal Challengers Bangalore,3,,3,,24,,92,20,,,46.0,33.0,33.0,,,8.36,11.0,,,,0,0,,,,,2,,,,6/19,6/19,0,,0,0,,0.0,2020,,
Abhishek Sharma,,,SRH,Sunrisers Hyderabad,8,,6,,212,,91,11,,,45.5,30.0,30.0,,,9.1,10.0,,,,6,3,,,,,2,,,,2/4,2/4,0,,0,0,,0.0,2020,,
Shahbaz Ahmed,,,RCB,Royal Challengers Bangalore,2,,2,,523,,44,9,,,22.0,18.0,18.0,,,7.33,6.0,,,,0,0,,,,,2,,,,3/7,3/7,0,,0,0,,0.0,2020,,
Jimmy Neesham,,,PBKS,Punjab Kings,5,,5,,80,,148,26,,,74.0,45.0,45.0,,,9.86,15.0,,,,0,1,,,,,2,,,,3/12,3/12,0,,0,0,,0.0,2020,,
Mitchell Santner,,,CSK,Chennai Super Kings,2,,2,,75,,53,12,,,26.5,21.0,21.0,,,7.57,7.0,,,,0,0,,,,,2,,,,2/13,2/13,0,,0,0,,0.0,2020,,
Dale Steyn,,,RCB,Royal Challengers Bangalore,3,,3,,230,,133,24,,,133.0,70.0,70.0,,,11.4,11.0,,,,0,0,,,,,1,,,,3/11,3/11,0,,0,0,,0.0,2020,,
Basil Thampi,,,SRH,Sunrisers Hyderabad,1,,1,,213,,46,5,,,46.0,24.0,24.0,,,11.5,4.0,,,,0,0,,,,,1,,,,3/29,3/29,0,,0,0,,0.0,2020,,
Imran Tahir,,,CSK,Chennai Super Kings,3,,3,,96,,76,19,,,76.0,66.0,66.0,,,6.9,11.0,,,,2,0,,,,,1,,,,4/12,4/12,0,,0,0,,0.0,2020,,
Jayant Yadav,,,MI,Mumbai Indians,2,,2,,165,,43,13,,,43.0,42.0,42.0,,,6.14,7.0,,,,0,0,,,,,1,,,,1/23,1/23,0,,0,0,,0.0,2020,,
Andrew Tye,,,RR,Rajasthan Royals,1,,1,,30,,50,5,,,50.0,24.0,24.0,,,12.5,4.0,,,,0,1,,,,,1,,,,5/17,5/17,0,,0,0,,0.0,2020,,
Josh Hazlewood,,,CSK,Chennai Super Kings,3,,3,,36,,64,31,,,64.0,60.0,60.0,,,6.4,10.0,,,,0,0,,,,,1,,,,3/24,3/24,0,,0,0,,0.0,2020,,
Mohit Sharma,,,DC,Delhi Capitals,1,,1,,100,,45,7,,,45.0,24.0,24.0,,,11.25,4.0,,,,0,0,,,,,1,,,,4/14,4/14,0,,0,0,,0.0,2020,,
Krishnappa Gowtham,,,PBKS,Punjab Kings,2,,2,,179,,84,11,,,84.0,48.0,48.0,,,10.5,8.0,,,,3,2,,,,,1,,,,2/12,2/12,0,,0,0,,0.0,2020,,
Moeen Ali,,,RCB,Royal Challengers Bangalore,3,,3,,206,,42,8,,,42.0,30.0,30.0,,,8.4,5.0,,,,1,0,,,,,1,,,,3/7,3/7,0,,0,0,,0.0,2020,,
Kuldeep Yadav,,,KKR,Kolkata Knight Riders,5,,4,,14,,92,19,,,92.0,72.0,72.0,,,7.66,12.0,,,,1,0,,,,,1,,,,4/20,4/20,0,,0,0,,0.0,2020,,
Abdul Samad,,,SRH,Sunrisers Hyderabad,12,,3,,525,,96,9,,,96.0,42.0,42.0,,,13.71,7.0,,,,8,6,,,,,1,,,,1/41,1/41,0,,0,0,,0.0,2020,,
Harshal Patel,,,RCB,Royal Challengers Bangalore,15,,15,,114,,459,122,,,14.34,10.56,10.56,,,8.14,56.0,,,,6,2,,,,,32,,,,5/27,5/27,0,,1,1,,1.0,2021,,
Avesh Khan,,,DC,Delhi Capitals,16,,16,,109,,450,156,,,18.75,15.25,15.25,,,7.37,61.0,,,,1,0,,,,,24,,,,3/13,3/13,0,,0,0,,0.0,2021,,
Jasprit Bumrah,,,MI,Mumbai Indians,14,,14,,9,,410,142,,,19.52,15.71,15.71,,,7.45,55.0,,,,2,0,,,,,21,,,,4/14,4/14,0,,0,0,,0.0,2021,,
