BowlerName,TeamName,Matches,TotalRunsConceded,DotBallsBowled,ScoringBallsBowled,BowlingAverage,StrikeRate,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Wides,NoBalls,Wickets,Maidens,FourWickets,FiveWickets,Hattricks,Year
Carlos Brathwaite,Sunrisers Hyderabad,4,94,23,,18.8,12.2,,,9.24,10.0,,,5,0,0,0,0.0,2018
Glenn Maxwell,Delhi Capitals,12,132,32,,26.4,19.2,,,8.25,16.0,,,5,0,0,0,0.0,2018
Ish Sodhi,Rajasthan Royals,6,135,51,,27.0,27.6,,,5.86,23.0,,,5,0,0,0,0.0,2018
Dhawal Kulkarni,Rajasthan Royals,8,188,54,,47.0,29.75,,,9.47,20.0,,,4,0,0,0,0.0,2018
Washington Sundar,Royal Challengers Bangalore,7,192,29,,48.0,30.0,,,9.6,20.0,,,4,0,0,0,0.0,2018
Avesh Khan,Delhi Capitals,6,204,44,,51.0,28.5,,,10.73,19.0,,,4,0,0,0,0.0,2018
Nitish Rana,Kolkata Knight Riders,15,44,17,,11.0,9.25,,,7.13,6.0,,,4,0,0,0,0.0,2018
Barinder Sran,Punjab Kings,6,229,47,,57.25,33.0,,,10.4,22.0,,,4,0,0,0,0.0,2018
Dan Christian,Delhi Capitals,4,101,22,,25.25,17.75,,,8.53,12.0,,,4,0,0,0,0.0,2018
Liam Plunkett,Delhi Capitals,7,225,42,,56.25,37.5,,,9.0,25.0,,,4,0,0,0,0.0,2018
Karn Sharma,Chennai Super Kings,6,89,16,,22.25,14.25,,,9.36,9.0,,,4,0,0,0,0.0,2018
Shahbaz Nadeem,Delhi Capitals,6,161,21,,53.66,30.0,,,10.73,15.0,,,3,0,0,0,0.0,2018
Axar Patel,Punjab Kings,9,218,41,,72.66,52.0,,,8.38,26.0,,,3,0,0,0,0.0,2018
Mohammad Shami,Delhi Capitals,4,144,28,,48.0,27.66,,,10.4,14.0,,,3,0,0,0,0.0,2018
Corey Anderson,Royal Challengers Bangalore,3,115,16,,38.33,17.33,,,13.26,8.0,,,3,0,0,0,0.0,2018
KM Asif,Chennai Super Kings,2,75,16,,25.0,12.0,,,12.5,6.0,,,3,0,0,0,0.0,2018
