BowlerName,TeamName,Matches,TotalRunsConceded,DotBallsBowled,ScoringBallsBowled,BowlingAverage,StrikeRate,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Wides,NoBalls,Wickets,Maidens,FourWickets,FiveWickets,Hattricks,Year
Kieron Pollard,Mumbai Indians,16,190,33,,47.5,31.5,,,9.04,21.0,,,4,0,0,0,0.0,2020
Prasidh Krishna,Kolkata Knight Riders,6,164,35,,41.0,26.25,,,9.37,17.0,,,4,0,0,0,0.0,2020
Jaydev Unadkat,Mumbai Indians,7,228,35,,57.0,34.5,,,9.91,23.0,,,4,0,0,0,0.0,2020
Bhuvneshwar Kumar,Sunrisers Hyderabad,4,99,40,,33.0,28.33,,,6.98,14.0,,,3,0,0,0,0.0,2020
Glenn Maxwell,Punjab Kings,13,169,37,,56.33,42.0,,,8.04,21.0,,,3,0,0,0,0.0,2020
Harshal Patel,Delhi Capitals,5,134,23,,44.66,30.0,,,8.93,15.0,,,3,0,0,0,0.0,2020
Tom Curran,Rajasthan Royals,5,208,25,,69.33,36.33,,,11.44,18.0,,,3,0,0,0,0.0,2020
Tushar Deshpande,Delhi Capitals,5,192,29,,64.0,34.0,,,11.29,17.0,,,3,0,0,0,0.0,2020
Amit Mishra,Delhi Capitals,3,72,17,,24.0,20.0,,,7.2,10.0,,,3,0,0,0,0.0,2020
Ankit Rajpoot,Rajasthan Royals,6,199,34,,99.5,51.0,,,11.7,17.0,,,2,0,0,0,0.0,2020
Siddarth Kaul,Sunrisers Hyderabad,1,64,6,,32.0,12.0,,,16.0,4.0,,,2,0,0,0,0.0,2020
Ben Stokes,Rajasthan Royals,8,154,24,,77.0,45.0,,,10.26,15.0,,,2,0,0,0,0.0,2020
Adam Zampa,Royal Challengers Bangalore,3,92,20,,46.0,33.0,,,8.36,11.0,,,2,0,0,0,0.0,2020
Abhishek Sharma,Sunrisers Hyderabad,8,91,11,,45.5,30.0,,,9.1,10.0,,,2,0,0,0,0.0,2020
Shahbaz Ahmed,Royal Challengers Bangalore,2,44,9,,22.0,18.0,,,7.33,6.0,,,2,0,0,0,0.0,2020
Jimmy Neesham,Punjab Kings,5,148,26,,74.0,45.0,,,9.86,15.0,,,2,0,0,0,0.0,2020
Mitchell Santner,Chennai Super Kings,2,53,12,,26.5,21.0,,,7.57,7.0,,,2,0,0,0,0.0,2020
Dale Steyn,Royal Challengers Bangalore,3,133,24,,133.0,70.0,,,11.4,11.0,,,1,0,0,0,0.0,2020
Basil Thampi,Sunrisers Hyderabad,1,46,5,,46.0,24.0,,,11.5,4.0,,,1,0,0,0,0.0,2020
Imran Tahir,Chennai Super Kings,3,76,19,,76.0,66.0,,,6.9,11.0,,,1,0,0,0,0.0,2020
Jayant Yadav,Mumbai Indians,2,43,13,,43.0,42.0,,,6.14,7.0,,,1,0,0,0,0.0,2020
Andrew Tye,Rajasthan Royals,1,50,5,,50.0,24.0,,,12.5,4.0,,,1,0,0,0,0.0,2020
Josh Hazlewood,Chennai Super Kings,3,64,31,,64.0,60.0,,,6.4,10.0,,,1,0,0,0,0.0,2020
Mohit Sharma,Delhi Capitals,1,45,7,,45.0,24.0,,,11.25,4.0,,,1,0,0,0,0.0,2020
Krishnappa Gowtham,Punjab Kings,2,84,11,,84.0,48.0,,,10.5,8.0,,,1,0,0,0,0.0,2020
Moeen Ali,Royal Challengers Bangalore,3,42,8,,42.0,30.0,,,8.4,5.0,,,1,0,0,0,0.0,2020
Kuldeep Yadav,Kolkata Knight Riders,5,92,19,,92.0,72.0,,,7.66,12.0,,,1,0,0,0,0.0,2020
Abdul Samad,Sunrisers Hyderabad,12,96,9,,96.0,42.0,,,13.71,7.0,,,1,0,0,0,0.0,2020
Harshal Patel,Royal Challengers Bangalore,15,459,122,,14.34,10.56,,,8.14,56.0,,,32,0,1,1,1.0,2021
Avesh Khan,Delhi Capitals,16,450,156,,18.75,15.25,,,7.37,61.0,,,24,0,0,0,0.0,2021
Jasprit Bumrah,Mumbai Indians,14,410,142,,19.52,15.71,,,7.45,55.0,,,21,0,0,0,0.0,2021
Shardul Thakur,Chennai Super Kings,16,527,137,,25.09,17.09,,,8.8,60.0,,,21,1,0,0,0.0,2021
Mohammad Shami,Punjab Kings,14,395,145,,20.78,16.63,,,7.5,52.0,,,19,1,0,0,0.0,2021
Rashid Khan,Sunrisers Hyderabad,14,375,130,,20.83,18.66,,,6.69,56.0,,,18,0,0,0,0.0,2021
Arshdeep Singh,Punjab Kings,12,342,88,,19.0,13.77,,,8.27,41.0,,,18,0,0,1,0.0,2021
Varun Chakaravarthy,Kolkata Knight Riders,17,448,149,,24.88,22.66,,,6.58,68.0,,,18,0,0,0,0.0,2021
Yuzvendra Chahal,Royal Challengers Bangalore,15,374,127,,20.77,17.66,,,7.05,53.0,,,18,1,0,0,0.0,2021
Jason Holder,Sunrisers Hyderabad,8,247,75,,15.43,11.93,,,7.75,32.0,,,16,0,1,0,0.0,2021
Sunil Narine,Kolkata Knight Riders,14,361,131,,22.56,21.0,,,6.44,56.0,,,16,0,1,0,0.0,2021
Chris Morris,Rajasthan Royals,11,376,91,,25.06,16.4,,,9.17,41.0,,,15,0,1,0,0.0,2021
Axar Patel,Delhi Capitals,12,306,99,,20.4,18.4,,,6.65,46.0,,,15,0,0,0,0.0,2021
Kagiso Rabada,Delhi Capitals,15,456,135,,30.4,22.4,,,8.14,56.0,,,15,1,0,0,0.0,2021
Chetan Sakariya,Rajasthan Royals,14,426,113,,30.42,22.28,,,8.19,52.0,,,14,1,0,0,0.0,2021
Deepak Chahar,Chennai Super Kings,15,451,132,,32.21,23.14,,,8.35,54.0,,,14,1,2,0,0.0,2021
Dwayne Bravo,Chennai Super Kings,11,263,73,,18.78,14.42,,,7.81,33.0,,,14,0,0,0,0.0,2021
Mustafizur Rahman,Rajasthan Royals,14,436,113,,31.14,22.21,,,8.41,52.0,,,14,0,0,0,0.0,2021
Ravindra Jadeja,Chennai Super Kings,16,346,104,,26.61,22.61,,,7.06,49.0,,,13,1,0,0,0.0,2021
Lockie Ferguson,Kolkata Knight Riders,8,224,76,,17.23,13.84,,,7.46,30.0,,,13,0,0,0,0.0,2021
Trent Boult,Mumbai Indians,14,406,138,,31.23,23.69,,,7.9,51.0,,,13,1,0,0,0.0,2021
Rahul Chahar,Mumbai Indians,11,318,93,,24.46,19.84,,,7.39,43.0,,,13,0,1,0,0.0,2021
Ravi Bishnoi,Punjab Kings,9,222,84,,18.5,17.5,,,6.34,35.0,,,12,0,0,0,0.0,2021
Anrich Nortje,Delhi Capitals,8,187,84,,15.58,15.16,,,6.16,30.0,,,12,1,0,0,0.0,2021
Prasidh Krishna,Kolkata Knight Riders,10,351,102,,29.25,19.25,,,9.11,38.0,,,12,0,0,0,0.0,2021
Shivam Mavi,Kolkata Knight Riders,9,233,91,,21.18,17.54,,,7.24,32.0,,,11,0,1,0,0.0,2021
Josh Hazlewood,Chennai Super Kings,9,293,87,,26.63,19.09,,,8.37,35.0,,,11,0,0,0,0.0,2021
Mohammed Siraj,Royal Challengers Bangalore,15,353,147,,32.09,28.36,,,6.78,52.0,,,11,1,0,0,0.0,2021
Andre Russell,Kolkata Knight Riders,10,188,39,,17.09,10.36,,,9.89,19.0,,,11,0,0,1,0.0,2021
Pat Cummins,Kolkata Knight Riders,7,237,60,,26.33,17.88,,,8.83,27.0,,,9,0,0,0,0.0,2021
Sam Curran,Chennai Super Kings,9,328,76,,36.44,22.0,,,9.93,33.0,,,9,0,0,0,0.0,2021
Kyle Jamieson,Royal Challengers Bangalore,9,269,70,,29.88,18.66,,,9.6,28.0,,,9,0,0,0,0.0,2021
Rahul Tewatia,Rajasthan Royals,14,340,50,,42.5,27.75,,,9.18,37.0,,,8,0,0,0,0.0,2021
Siddarth Kaul,Sunrisers Hyderabad,8,247,70,,35.28,25.71,,,8.23,30.0,,,7,1,0,0,0.0,2021
Nathan Coulter-Nile,Mumbai Indians,5,127,53,,18.14,17.14,,,6.35,20.0,,,7,0,1,0,0.0,2021
Ravichandran Ashwin,Delhi Capitals,13,331,95,,47.28,38.28,,,7.41,44.0,,,7,0,0,0,0.0,2021
Shahbaz Ahmed,Royal Challengers Bangalore,11,92,21,,13.14,12.0,,,6.57,14.0,,,7,0,0,0,0.0,2021
Amit Mishra,Delhi Capitals,4,109,25,,18.16,14.0,,,7.78,14.0,,,6,0,1,0,0.0,2021
Bhuvneshwar Kumar,Sunrisers Hyderabad,11,335,103,,55.83,42.0,,,7.97,42.0,,,6,1,0,0,0.0,2021
Moeen Ali,Chennai Super Kings,15,161,50,,26.83,25.33,,,6.35,25.0,,,6,0,0,0,0.0,2021
Lungi Ngidi ,Chennai Super Kings,3,125,25,,25.0,14.4,,,10.41,12.0,,,5,0,0,0,0.0,2021
Chris Woakes,Delhi Capitals,3,82,33,,16.4,13.2,,,7.45,11.0,,,5,0,0,0,0.0,2021
Krunal Pandya,Mumbai Indians,13,265,68,,53.0,39.8,,,7.98,33.0,,,5,0,0,0,0.0,2021
Jimmy Neesham,Mumbai Indians,3,66,21,,13.2,10.8,,,7.33,9.0,,,5,0,0,0,0.0,2021
Harpreet Brar,Punjab Kings,7,139,56,,27.8,27.6,,,6.04,23.0,,,5,1,0,0,0.0,2021
Kieron Pollard,Mumbai Indians,14,95,26,,19.0,15.8,,,7.21,13.0,,,5,0,0,0,0.0,2021
Khaleel Ahmed,Sunrisers Hyderabad,7,219,56,,43.8,32.4,,,8.11,27.0,,,5,0,0,0,0.0,2021
Abhishek Sharma,Sunrisers Hyderabad,8,64,25,,16.0,15.0,,,6.4,10.0,,,4,0,0,0,0.0,2021
Lalit Yadav,Delhi Capitals,7,101,21,,25.25,21.0,,,7.21,14.0,,,4,0,0,0,0.0,2021
Jaydev Unadkat,Mumbai Indians,6,168,52,,42.0,33.0,,,7.63,22.0,,,4,0,0,0,0.0,2021
Tom Curran,Delhi Capitals,3,104,19,,26.0,17.0,,,9.17,11.0,,,4,0,0,0,0.0,2021
Chris Jordan,Punjab Kings,4,96,27,,24.0,18.0,,,8.0,12.0,,,4,0,0,0,0.0,2021
Kartik Tyagi,Rajasthan Royals,4,124,37,,31.0,21.0,,,8.85,14.0,,,4,0,0,0,0.0,2021
Moises Henriques,Punjab Kings,5,45,31,,11.25,15.0,,,4.5,10.0,,,4,0,0,0,0.0,2021
Dan Christian,Royal Challengers Bangalore,9,155,29,,38.75,25.0,,,9.3,16.0,,,4,0,0,0,0.0,2021
Riley Meredith,Punjab Kings,5,169,38,,42.25,25.5,,,9.94,17.0,,,4,0,0,0,0.0,2021
Shakib Al Hasan,Kolkata Knight Riders,8,187,50,,46.75,39.0,,,7.19,26.0,,,4,0,0,0,0.0,2021
Washington Sundar,Royal Challengers Bangalore,6,118,32,,39.33,32.0,,,7.37,16.0,,,3,0,0,0,0.0,2021
Venkatesh Iyer,Kolkata Knight Riders,10,69,14,,23.0,17.0,,,8.11,8.0,,,3,0,0,0,0.0,2021
Sandeep Sharma,Sunrisers Hyderabad,7,203,52,,67.66,47.0,,,8.63,23.0,,,3,0,0,0,0.0,2021
Adam Milne,Mumbai Indians,4,131,31,,43.66,28.0,,,9.35,14.0,,,3,0,0,0,0.0,2021
Tim Southee,Kolkata Knight Riders,3,95,23,,31.66,24.0,,,7.91,12.0,,,3,0,0,0,0.0,2021
Vijay Shankar,Sunrisers Hyderabad,7,100,22,,33.33,22.0,,,9.09,11.0,,,3,0,0,0,0.0,2021
Jhye Richardson,Punjab Kings,3,117,24,,39.0,22.0,,,10.63,11.0,,,3,0,0,0,0.0,2021
Glenn Maxwell,Royal Challengers Bangalore,15,135,25,,45.0,32.0,,,8.43,16.0,,,3,0,0,0,0.0,2021
George Garton,Royal Challengers Bangalore,5,135,32,,45.0,30.0,,,9.0,15.0,,,3,0,0,0,0.0,2021
T Natarajan,Sunrisers Hyderabad,2,69,14,,34.5,24.0,,,8.62,8.0,,,2,0,0,0,0.0,2021
Jayant Yadav,Mumbai Indians,5,130,44,,65.0,51.0,,,7.64,17.0,,,2,0,0,0,0.0,2021
Imran Tahir,Chennai Super Kings,1,16,14,,8.0,12.0,,,4.0,4.0,,,2,0,0,0,0.0,2021
Umran Malik,Sunrisers Hyderabad,3,96,31,,48.0,36.0,,,8.0,12.0,,,2,0,0,0,0.0,2021
Marco Jansen,Mumbai Indians,2,45,14,,22.5,18.0,,,7.5,6.0,,,2,0,0,0,0.0,2021
Marcus Stoinis,Delhi Capitals,10,117,17,,58.5,33.5,,,10.47,11.0,,,2,0,0,0,0.0,2021
Mohammad Nabi,Sunrisers Hyderabad,3,86,13,,43.0,24.0,,,10.75,8.0,,,2,0,0,0,0.0,2021
Mujeeb Ur Rahman,Sunrisers Hyderabad,1,29,10,,14.5,12.0,,,7.25,4.0,,,2,0,0,0,0.0,2021
Deepak Hooda,Punjab Kings,12,136,31,,68.0,48.0,,,8.5,16.0,,,2,0,0,0,0.0,2021
Fabian Allen,Punjab Kings,4,90,20,,90.0,66.0,,,8.18,11.0,,,1,1,0,0,0.0,2021
Glenn Phillips,Rajasthan Royals,3,20,4,,20.0,12.0,,,10.0,2.0,,,1,0,0,0,0.0,2021
Piyush Chawla,Mumbai Indians,1,38,3,,38.0,24.0,,,9.5,4.0,,,1,0,0,0,0.0,2021
Ishan Porel,Punjab Kings,1,39,10,,39.0,24.0,,,9.75,4.0,,,1,0,0,0,0.0,2021
Daniel Sams,Royal Challengers Bangalore,2,39,15,,39.0,36.0,,,6.5,6.0,,,1,0,0,0,0.0,2021
Ishant Sharma,Delhi Capitals,3,97,26,,97.0,72.0,,,8.08,12.0,,,1,2,0,0,0.0,2021
Kane Richardson,Royal Challengers Bangalore,1,29,5,,29.0,18.0,,,9.66,3.0,,,1,0,0,0,0.0,2021
KM Asif,Chennai Super Kings,1,18,2,,18.0,13.0,,,8.3,2.0,,,1,0,0,0,0.0,2021
Shahbaz Nadeem,Sunrisers Hyderabad,1,36,9,,36.0,24.0,,,9.0,4.0,,,1,0,0,0,0.0,2021
Lukman Meriwala,Delhi Capitals,1,32,6,,32.0,18.0,,,10.66,3.0,,,1,0,0,0,0.0,2021
Mahipal Lomror,Rajasthan Royals,4,47,13,,47.0,42.0,,,6.71,7.0,,,1,0,0,0,0.0,2021
Riyan Parag,Rajasthan Royals,11,73,7,,73.0,37.0,,,11.83,6.0,,,1,0,0,0,0.0,2021
Murugan Ashwin,Punjab Kings,3,97,19,,97.0,66.0,,,8.81,11.0,,,1,0,0,0,0.0,2021
Nathan Ellis,Punjab Kings,3,98,27,,98.0,72.0,,,8.16,12.0,,,1,0,0,0,0.0,2021
Yuzvendra Chahal,Rajasthan Royals,17,527,137,292.0,19.51,15.11,49.71,7.84,7.75,68.0,21.0,0.0,27,0,1,1,,2022
Wanindu Hasaranga,Royal Challengers Bangalore,16,430,143,203.0,16.53,13.15,63.25,6.45,7.54,57.0,4.0,0.0,26,1,1,1,,2022
Kagiso Rabada,Punjab Kings,13,406,133,170.0,17.65,12.52,67.48,4.72,8.45,48.0,12.0,3.0,23,0,2,0,,2022
Umran Malik,Sunrisers Hyderabad,14,444,141,171.0,20.18,13.4,71.62,4.15,9.03,49.1,14.0,4.0,22,1,1,1,,2022
Kuldeep Yadav,Delhi Capitals,14,419,97,209.0,19.95,14.19,59.18,5.84,8.43,49.4,8.0,0.0,21,0,2,0,,2022
Mohammad Shami,Gujarat Titans,16,488,172,206.0,24.4,18.3,65.98,5.08,8.0,61.0,12.0,0.0,20,0,0,0,,2022
Josh Hazlewood,Royal Challengers Bangalore,12,377,123,166.0,18.85,13.95,65.25,5.26,8.1,46.3,10.0,0.0,20,1,1,0,,2022
Rashid Khan,Gujarat Titans,16,421,127,259.0,22.15,20.15,39.9,11.26,6.59,63.5,3.0,0.0,19,0,1,0,,2022
Harshal Patel,Royal Challengers Bangalore,15,410,130,208.0,21.57,16.89,57.56,6.55,7.66,53.3,17.0,0.0,19,2,1,0,,2022
Prasidh Krishna,Rajasthan Royals,17,551,200,232.0,29.0,21.0,71.14,4.48,8.28,66.3,30.0,3.0,19,3,0,0,,2022
Avesh Khan,Lucknow Super Giants,13,416,126,174.0,23.11,15.88,69.71,4.33,8.72,47.4,13.0,1.0,18,1,1,0,,2022
T Natarajan,Sunrisers Hyderabad,11,406,82,190.0,22.55,14.33,61.08,4.86,9.44,43.0,14.0,0.0,18,0,0,0,,2022
Andre Russell,Kolkata Knight Riders,14,278,58,118.0,16.35,9.94,67.62,4.12,9.86,28.1,6.0,1.0,17,0,1,0,,2022
Umesh Yadav,Kolkata Knight Riders,12,339,143,154.0,21.18,18.0,65.48,5.87,7.06,48.0,4.0,5.0,16,2,1,0,,2022
Trent Boult,Rajasthan Royals,16,492,176,211.0,30.75,23.25,67.47,4.96,7.93,62.0,15.0,0.0,16,3,0,0,,2022
Khaleel Ahmed,Delhi Capitals,10,315,110,132.0,19.68,14.68,67.93,5.0,8.04,39.1,6.0,1.0,16,0,0,0,,2022
Dwayne Bravo,Chennai Super Kings,10,299,70,159.0,18.68,12.87,50.83,5.88,8.7,34.2,20.0,3.0,16,1,0,0,,2022
Mukesh Choudhary,Chennai Super Kings,13,424,119,172.0,26.5,17.06,68.39,4.26,9.31,45.3,18.0,0.0,16,0,1,0,,2022
Jasprit Bumrah,Mumbai Indians,14,383,139,188.0,25.53,21.33,56.91,6.53,7.18,53.2,6.0,1.0,15,2,0,1,,2022
Shardul Thakur,Delhi Capitals,14,473,109,206.0,31.53,19.33,66.38,4.32,9.78,48.2,24.0,1.0,15,1,1,0,,2022
Mohsin Khan,Lucknow Super Giants,9,197,107,99.0,14.07,14.14,55.83,7.92,5.96,33.0,8.0,0.0,14,2,1,0,,2022
Rahul Chahar,Punjab Kings,13,360,99,191.0,25.71,20.0,50.0,7.36,7.71,46.4,10.0,0.0,14,1,0,0,,2022
Tim Southee,Kolkata Knight Riders,9,275,93,127.0,19.64,15.0,60.36,6.0,7.85,35.0,9.0,1.0,14,0,0,0,,2022
Jason Holder,Lucknow Super Giants,12,391,77,189.0,27.92,17.78,59.84,5.08,9.42,41.3,17.0,0.0,14,0,0,0,,2022
Ravi Bishnoi,Lucknow Super Giants,14,456,113,227.0,35.07,24.92,58.33,5.58,8.44,54.0,13.0,3.0,13,0,0,0,,2022
Daniel Sams,Mumbai Indians,11,370,107,167.0,28.46,19.38,64.32,5.04,8.8,42.0,21.0,1.0,13,0,1,0,,2022
Bhuvneshwar Kumar,Sunrisers Hyderabad,14,383,139,191.0,31.91,26.08,53.26,6.95,7.34,52.1,15.0,2.0,12,2,0,0,,2022
Maheesh Theekshana,Chennai Super Kings,9,261,68,144.0,21.75,17.5,52.87,7.24,7.45,35.0,2.0,0.0,12,0,1,0,,2022
Ravichandran Ashwin,Rajasthan Royals,17,503,122,297.0,41.91,33.5,44.53,8.73,7.5,67.0,16.0,1.0,12,0,0,0,,2022
Lockie Ferguson,Gujarat Titans,13,427,116,182.0,35.58,23.83,68.38,4.53,8.95,47.4,11.0,1.0,12,0,1,0,,2022
Obed McCoy,Rajasthan Royals,7,237,48,124.0,21.54,14.09,54.0,5.53,9.17,25.5,16.0,2.0,11,0,0,0,,2022
Yash Dayal,Gujarat Titans,9,296,76,129.0,26.9,17.45,66.21,4.46,9.25,32.0,10.0,3.0,11,0,0,0,,2022
Krunal Pandya,Lucknow Super Giants,14,265,72,160.0,26.5,22.8,45.28,8.76,6.97,38.0,4.0,0.0,10,1,0,0,,2022
Arshdeep Singh,Punjab Kings,14,385,110,207.0,38.5,30.0,54.02,6.12,7.7,50.0,13.0,4.0,10,0,0,0,,2022
Sunil Narine,Kolkata Knight Riders,14,312,142,200.0,34.66,37.33,38.46,14.0,5.57,56.0,6.0,0.0,9,0,0,0,,2022
Murugan Ashwin,Mumbai Indians,8,228,69,110.0,25.33,19.33,60.52,6.21,7.86,29.0,5.0,0.0,9,0,0,0,,2022
Dushmantha Chameera,Lucknow Super Giants,12,384,122,156.0,42.66,29.33,71.35,4.25,8.72,44.0,12.0,2.0,9,0,0,0,,2022
Anrich Nortje,Delhi Capitals,6,217,49,94.0,24.11,14.88,66.35,4.32,9.71,22.2,5.0,4.0,9,0,0,0,,2022
Mohammed Siraj,Royal Challengers Bangalore,15,514,129,196.0,57.11,34.0,72.76,3.92,10.07,51.0,16.0,3.0,9,0,0,0,,2022
Moeen Ali,Chennai Super Kings,10,158,56,90.0,19.75,17.87,51.89,8.93,6.62,23.5,3.0,0.0,8,0,0,0,,2022
Hardik Pandya,Gujarat Titans,15,222,76,113.0,27.75,22.87,54.05,6.77,7.27,30.3,5.0,1.0,8,0,0,0,,2022
Mustafizur Rahman,Delhi Capitals,8,244,76,123.0,30.5,24.0,55.73,6.19,7.62,32.0,7.0,0.0,8,0,0,0,,2022
Riley Meredith,Mumbai Indians,8,236,76,105.0,29.5,21.0,62.71,5.25,8.42,28.0,13.0,0.0,8,0,0,0,,2022
Kuldeep Sen,Rajasthan Royals,7,237,59,98.0,29.62,18.87,68.35,4.31,9.41,25.1,6.0,0.0,8,0,1,0,,2022
Jagadeesha Suchith,Sunrisers Hyderabad,5,140,49,66.0,20.0,15.42,58.57,6.75,7.77,18.0,7.0,0.0,7,0,0,0,,2022
Marco Jansen,Sunrisers Hyderabad,8,274,83,118.0,39.14,27.42,65.69,5.05,8.56,32.0,9.0,0.0,7,0,0,0,,2022
Alzarri Joseph,Gujarat Titans,9,264,72,113.0,37.71,25.71,65.9,4.86,8.8,30.0,4.0,1.0,7,0,0,0,,2022
Pat Cummins,Kolkata Knight Riders,5,212,37,90.0,30.28,17.0,68.86,3.83,10.68,19.5,8.0,0.0,7,0,0,0,,2022
Glenn Maxwell,Royal Challengers Bangalore,13,165,63,83.0,27.5,24.0,54.54,8.47,6.87,24.0,2.0,0.0,6,1,0,0,,2022
Axar Patel,Delhi Capitals,13,321,86,175.0,53.5,43.0,52.95,7.37,7.46,43.0,3.0,0.0,6,0,0,0,,2022
Sai Kishore,Gujarat Titans,5,121,27,71.0,20.16,16.0,47.93,8.0,7.56,16.0,2.0,0.0,6,0,0,0,,2022
Rishi Dhawan,Punjab Kings,6,156,33,86.0,26.0,19.0,52.56,6.33,8.21,19.0,5.0,0.0,6,0,0,0,,2022
Varun Chakaravarthy,Kolkata Knight Riders,11,332,88,156.0,55.33,39.0,60.24,5.85,8.51,39.0,8.0,3.0,6,0,0,0,,2022
Washington Sundar,Sunrisers Hyderabad,9,239,47,123.0,39.83,28.0,56.06,6.22,8.53,28.0,1.0,1.0,6,0,0,0,,2022
Liam Livingstone,Punjab Kings,14,202,38,106.0,33.66,23.0,51.48,6.57,8.78,23.0,6.0,0.0,6,0,0,0,,2022
Ramandeep Singh,Mumbai Indians,5,54,13,28.0,9.0,6.0,59.25,5.14,9.0,6.0,5.0,0.0,6,0,0,0,,2022
Jaydev Unadkat,Mumbai Indians,5,190,36,87.0,31.66,20.0,64.21,4.8,9.5,20.0,3.0,0.0,6,0,0,0,,2022
Dwaine Pretorius,Chennai Super Kings,6,210,37,101.0,35.0,21.0,52.38,5.72,10.0,21.0,12.0,0.0,6,0,0,0,,2022
Tymal Mills,Mumbai Indians,5,190,30,77.0,31.66,17.0,71.57,3.4,11.17,17.0,5.0,0.0,6,0,0,0,,2022
Odean Smith,Punjab Kings,6,178,36,59.0,29.66,15.0,80.89,3.21,11.86,15.0,4.0,1.0,6,0,1,0,,2022
Ravindra Jadeja,Chennai Super Kings,10,248,65,138.0,49.6,39.6,50.8,7.61,7.51,33.0,5.0,0.0,5,0,0,0,,2022
Kumar Kartikeya Singh,Mumbai Indians,4,102,30,48.0,20.4,15.6,60.78,6.0,7.84,13.0,0.0,0.0,5,0,0,0,,2022
Krishnappa Gowtham,Lucknow Super Giants,4,99,33,39.0,19.8,14.4,70.7,5.14,8.25,12.0,0.0,0.0,5,1,0,0,,2022
Basil Thampi,Mumbai Indians,5,152,41,61.0,30.4,19.2,71.05,4.36,9.5,16.0,6.0,0.0,5,1,0,0,,2022
Shivam Mavi,Kolkata Knight Riders,6,227,49,93.0,45.4,26.4,66.07,4.25,10.31,22.0,8.0,2.0,5,0,0,0,,2022
Akash Deep,Royal Challengers Bangalore,5,205,40,79.0,41.0,22.6,70.24,3.89,10.88,18.5,4.0,2.0,5,1,0,0,,2022
Mitchell Santner,Chennai Super Kings,6,130,43,71.0,32.5,28.5,52.3,7.6,6.84,19.0,0.0,0.0,4,0,0,0,,2022
Simarjeet Singh,Chennai Super Kings,6,138,57,56.0,34.5,27.0,72.46,4.69,7.66,18.0,4.0,1.0,4,0,0,0,,2022
Lalit Yadav,Delhi Capitals,12,150,38,72.0,37.5,27.0,58.66,6.0,8.33,18.0,1.0,1.0,4,0,0,0,,2022
Mitchell Marsh,Delhi Capitals,8,102,25,51.0,25.5,18.0,56.86,5.14,8.5,12.0,4.0,0.0,4,0,0,0,,2022
Kieron Pollard,Mumbai Indians,11,125,21,66.0,31.25,21.0,60.8,5.25,8.92,14.0,3.0,0.0,4,0,0,0,,2022
Harpreet Brar,Punjab Kings,5,146,38,62.0,36.5,24.0,65.75,5.05,9.12,16.0,4.0,0.0,4,0,0,0,,2022
Shahbaz Ahmed,Royal Challengers Bangalore,16,336,58,162.0,84.0,52.5,61.3,5.0,9.6,35.0,9.0,1.0,4,0,0,0,,2022
Marcus Stoinis,Lucknow Super Giants,11,79,13,31.0,19.75,10.5,68.35,3.81,11.28,7.0,2.0,0.0,4,0,0,0,,2022
Pradeep Sangwan,Gujarat Titans,3,65,22,34.0,21.66,18.0,55.38,6.0,7.22,9.0,2.0,0.0,3,0,0,0,,2022
Chetan Sakariya,Delhi Capitals,3,84,21,50.0,28.0,22.0,45.23,8.25,7.63,11.0,5.0,0.0,3,0,0,0,,2022
Nathan Ellis,Punjab Kings,2,55,16,24.0,18.33,12.0,69.09,4.5,9.16,6.0,3.0,1.0,3,0,0,0,,2022
Vaibhav Arora,Punjab Kings,5,164,39,71.0,54.66,35.66,70.73,4.11,9.19,17.5,3.0,0.0,3,0,0,0,,2022
Romario Shepherd,Sunrisers Hyderabad,3,98,23,34.0,32.66,18.0,75.51,3.6,10.88,9.0,3.0,0.0,3,0,0,0,,2022
Navdeep Saini,Rajasthan Royals,2,72,10,29.0,24.0,12.0,69.44,3.27,12.0,6.0,2.0,1.0,3,0,0,0,,2022
Ayush Badoni,Lucknow Super Giants,13,11,4,8.0,5.5,6.0,0.0,0.0,5.5,2.0,0.0,0.0,2,0,0,0,,2022
Prashant Solanki,Chennai Super Kings,2,38,12,24.0,19.0,18.0,42.1,12.0,6.33,6.0,0.0,0.0,2,0,0,0,,2022
Matheesha Pathirana,Chennai Super Kings,2,52,20,28.0,26.0,20.5,53.84,5.85,7.6,6.5,7.0,0.0,2,0,0,0,,2022
Sandeep Sharma,Punjab Kings,5,153,60,66.0,76.5,60.0,70.58,5.0,7.65,20.0,6.0,0.0,2,0,0,0,,2022
Hrithik Shokeen,Mumbai Indians,5,127,43,51.0,63.5,45.0,69.29,5.29,8.46,15.0,4.0,0.0,2,0,0,0,,2022
Fazalhaq Farooqi,Sunrisers Hyderabad,3,110,24,52.0,55.0,36.0,58.18,5.14,9.16,12.0,4.0,0.0,2,0,0,0,,2022
Andrew Tye,Lucknow Super Giants,3,107,24,45.0,53.5,33.0,74.76,3.66,9.72,11.0,3.0,0.0,2,0,0,0,,2022
Varun Aaron,Gujarat Titans,2,52,7,26.0,26.0,15.0,65.38,3.75,10.4,5.0,3.0,0.0,2,0,0,0,,2022
Chris Jordan,Chennai Super Kings,4,135,23,57.0,67.5,38.5,63.7,4.27,10.51,12.5,1.0,2.0,2,0,0,0,,2022
Darshan Nalkande,Gujarat Titans,2,59,8,25.0,29.5,15.5,64.4,3.87,11.41,5.1,2.0,0.0,2,0,0,0,,2022
