Player Name,Team Name,Price,Year,Price_Cr
Shahbaz Ahmed,Royal Challengers Bangalore,2.4 crore,2022,2.4
David willey,Royal Challengers Bangalore,2 crore,2022,2.0
Sherfane rutherford,Royal Challengers Bangalore,1 crore,2022,1.0
Suyash Prabhudessai,Royal Challengers Bangalore,0.3 crore,2022,0.3
Akash Deep,Royal Challengers Bangalore,0.2 crore,2022,0.2
Kane williamson,Sunrisers Hyderabad,14 crore,2022,14.0
Nicholas Pooran,Sunrisers Hyderabad,10.75 crore,2022,10.75
Washington sundar,Sunrisers Hyderabad,8.75 crore,2022,8.75
Rahul tripathi,Sunrisers Hyderabad,8.5 crore,2022,8.5
Romario Shepherd,Sunrisers Hyderabad,7.75 crore,2022,7.75
Abhishek sharma,Sunrisers Hyderabad,6.5 crore,2022,6.5
Marco Jansen,Sunrisers Hyderabad,4.2 crore,2022,4.2
Bhuvneshwar kumar,Sunrisers Hyderabad,4.2 crore,2022,4.2
T natarajan,Sunrisers Hyderabad,4 crore,2022,4.0
Abdul Samad,Sunrisers Hyderabad,4 crore,2022,4.0
Umran Malik,Sunrisers Hyderabad,4 crore,2022,4.0
Aiden Markram,Sunrisers Hyderabad,2.6 crore,2022,2.6
Malsha Tharupathi,Sunrisers Hyderabad,0.2 crore,2022,0.2
Deepak Chahar,Chennai Super Kings,"â‚¹14,00,00,000",2022,14.0
Ambati Rayudu,Chennai Super Kings,6.75,2022,6.75
Dwayne Bravo,Chennai Super Kings,4.4,2022,4.4
Shivam Dube,Chennai Super Kings,4.0,2022,4.0
Chris Jordan,Chennai Super Kings,3.6,2022,3.6
Robin Uthappa,Chennai Super Kings,2.0,2022,2.0
Adam Milne,Chennai Super Kings,1.9,2022,1.9
Mitchell Santner,Chennai Super Kings,1.9,2022,1.9
Rajvardhan Hangargekar,Chennai Super Kings,1.5,2022,1.5
Prashant Solanki,Chennai Super Kings,1.2,2022,1.2
Devon Conway,Chennai Super Kings,1.0,2022,1.0
Maheesh Theekshana,Chennai Super Kings,0.7,2022,0.7
Dwaine Pretorius,Chennai Super Kings,0.5,2022,0.5
