StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Most_4s,Most_6s,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,Year,ClientPlayerID
Ankit Rajpoot,124,6,,,,10012,,,RR,Rajasthan Royals,10012,,,2,,9,10,,90.0,,,,,,,,,,0,1,0.0,1.0,1,1,9.0,0,0,,7*,9.0,,,2020,
Jaydev Unadkat,180,7,,,,10012,,,RR,Rajasthan Royals,10012,,,1,,9,13,,69.23,,,,,,,,,,0,0,0.0,0.0,1,0,9.0,0,0,,9,9.0,,,2020,
Pravin Dubey,548,3,,,,10012,,,DC,Delhi Capitals,10012,,,1,,7,13,,53.84,,,,,,,,,,0,0,0.0,0.0,0,1,0.0,0,0,,7*,0.0,,,2020,
Dwayne Bravo,93,6,,,,10012,,,CSK,Chennai Super Kings,10012,,,2,,7,6,,116.66,,,,,,,,,,0,0,0.0,0.0,2,0,3.5,0,0,,7,3.5,,,2020,
Shahbaz Nadeem,221,7,,,,10012,,,SRH,Sunrisers Hyderabad,10012,,,2,,7,8,,87.5,,,,,,,,,,1,0,1.0,0.0,1,1,7.0,0,0,,5,7.0,,,2020,
Deepak Chahar,91,14,,,,10012,,,CSK,Chennai Super Kings,10012,,,3,,7,12,,58.33,,,,,,,,,,0,0,0.0,0.0,1,2,7.0,0,0,,5*,7.0,,,2020,
Ravi Bishnoi,520,14,,,,10012,,,PBKS,Punjab Kings,10012,,,3,,7,12,,58.33,,,,,,,,,,1,0,1.0,0.0,1,2,7.0,0,0,,6*,7.0,,,2020,
Anrich Nortje,142,16,,,,10012,,,DC,Delhi Capitals,10012,,,5,,7,6,,116.66,,,,,,,,,,0,0,0.0,0.0,1,4,7.0,0,0,,3*,7.0,,,2020,
Andrew Tye,30,1,,,,10012,,,RR,Rajasthan Royals,10012,,,1,,6,6,,100.0,,,,,,,,,,0,1,0.0,1.0,1,0,6.0,0,0,,6,6.0,,,2020,
Jasprit Bumrah,9,15,,,,10012,,,MI,Mumbai Indians,10012,,,1,,5,3,,166.66,,,,,,,,,,0,0,0.0,0.0,0,1,0.0,0,0,,5*,0.0,,,2020,
Murugan Ashwin,135,9,,,,10012,,,PBKS,Punjab Kings,10012,,,1,,4,4,,100.0,,,,,,,,,,0,0,0.0,0.0,1,0,4.0,0,0,,4,4.0,,,2020,
Kartik Tyagi,536,10,,,,10012,,,RR,Rajasthan Royals,10012,,,3,,4,6,,66.66,,,,,,,,,,0,0,0.0,0.0,1,2,4.0,0,0,,2*,4.0,,,2020,
Dhawal Kulkarni,178,1,,,,10012,,,MI,Mumbai Indians,10012,,,1,,3,2,,150.0,,,,,,,,,,0,0,0.0,0.0,0,1,0.0,0,0,,3*,0.0,,,2020,
T Natarajan,224,16,,,,10012,,,SRH,Sunrisers Hyderabad,10012,,,3,,3,5,,60.0,,,,,,,,,,0,0,0.0,0.0,0,3,0.0,0,0,,3*,0.0,,,2020,
Prasidh Krishna,150,6,,,,10012,,,KKR,Kolkata Knight Riders,10012,,,2,,2,4,,50.0,,,,,,,,,,0,0,0.0,0.0,0,2,0.0,0,0,,2*,0.0,,,2020,
Mohammad Shami,47,14,,,,10012,,,PBKS,Punjab Kings,10012,,,3,,2,3,,66.66,,,,,,,,,,0,0,0.0,0.0,1,2,2.0,0,0,,2*,2.0,,,2020,
Rahul Chahar,171,15,,,,10012,,,MI,Mumbai Indians,10012,,,1,,2,4,,50.0,,,,,,,,,,0,0,0.0,0.0,0,1,0.0,0,0,,2*,0.0,,,2020,
Nikhil Naik,147,1,,,,10012,,,KKR,Kolkata Knight Riders,10012,,,1,,1,3,,33.33,,,,,,,,,,0,0,0.0,0.0,1,0,1.0,0,0,,1,1.0,,,2020,
Mujeeb Ur Rahman,134,2,,,,10012,,,PBKS,Punjab Kings,10012,,,1,,1,3,,33.33,,,,,,,,,,0,0,0.0,0.0,1,0,1.0,0,0,,1,1.0,,,2020,
Shahbaz Ahmed,523,2,,,,10012,,,RCB,Royal Challengers Bangalore,10012,,,1,,1,1,,100.0,,,,,,,,,,0,0,0.0,0.0,0,1,0.0,0,0,,1*,0.0,,,2020,
Dale Steyn,230,3,,,,10012,,,RCB,Royal Challengers Bangalore,10012,,,1,,1,2,,50.0,,,,,,,,,,0,0,0.0,0.0,0,1,0.0,0,0,,1*,0.0,,,2020,
Varun Aaron,197,3,,,,10012,,,RR,Rajasthan Royals,10012,,,2,,1,10,,10.0,,,,,,,,,,0,0,0.0,0.0,1,1,1.0,0,0,,1,1.0,,,2020,
Yuzvendra Chahal,10,15,,,,10012,,,RCB,Royal Challengers Bangalore,10012,,,2,,1,3,,33.33,,,,,,,,,,0,0,0.0,0.0,1,1,1.0,0,0,,1,1.0,,,2020,
Mitchell Marsh,40,1,,,,10012,,,SRH,Sunrisers Hyderabad,10012,,,1,,0,1,,0.0,,,,,,,,,,0,0,0.0,0.0,1,0,0.0,0,0,,0*,0.0,,,2020,
Shreevats Goswami,223,2,,,,10012,,,SRH,Sunrisers Hyderabad,10012,,,2,,0,4,,0.0,,,,,,,,,,0,0,0.0,0.0,2,0,0.0,0,0,,0*,0.0,,,2020,
Umesh Yadav,21,2,,,,10012,,,RCB,Royal Challengers Bangalore,10012,,,1,,0,2,,0.0,,,,,,,,,,0,0,0.0,0.0,1,0,0.0,0,0,,0*,0.0,,,2020,
Daniel Sams,546,3,,,,10012,,,DC,Delhi Capitals,10012,,,1,,0,2,,0.0,,,,,,,,,,0,0,0.0,0.0,1,0,0.0,0,0,,0*,0.0,,,2020,
Bhuvneshwar Kumar,15,4,,,,10012,,,SRH,Sunrisers Hyderabad,10012,,,1,,0,2,,0.0,,,,,,,,,,0,0,0.0,0.0,1,0,0.0,0,0,,0*,0.0,,,2020,
Sheldon Cottrell,266,6,,,,10012,,,PBKS,Punjab Kings,10012,,,1,,0,2,,0.0,,,,,,,,,,0,0,0.0,0.0,1,0,0.0,0,0,,0*,0.0,,,2020,
Khaleel Ahmed,8,7,,,,10012,,,SRH,Sunrisers Hyderabad,10012,,,1,,0,2,,0.0,,,,,,,,,,0,0,0.0,0.0,1,0,0.0,0,0,,0*,0.0,,,2020,
Arshdeep Singh,125,8,,,,10012,,,PBKS,Punjab Kings,10012,,,1,,0,3,,0.0,,,,,,,,,,0,0,0.0,0.0,1,0,0.0,0,0,,0*,0.0,,,2020,
Trent Boult,66,15,,,,10012,,,MI,Mumbai Indians,10012,,,1,,0,1,,0.0,,,,,,,,,,0,0,0.0,0.0,1,0,0.0,0,0,,0*,0.0,,,2020,
Ruturaj Gaikwad,102,16,,,,10013,,,CSK,Chennai Super Kings,10013,,,16,,635,466,,136.26,,,,,,,,,,64,23,64.0,23.0,14,2,45.35,4,1,,101*,45.35,,,2021,
Faf du Plessis,94,16,,,,10013,,,CSK,Chennai Super Kings,10013,,,16,,633,458,,138.2,,,,,,,,,,60,23,60.0,23.0,14,2,45.21,6,0,,95*,45.21,,,2021,
KL Rahul,19,13,,,,10013,,,PBKS,Punjab Kings,10013,,,13,,626,451,,138.8,,,,,,,,,,48,30,48.0,30.0,10,3,62.6,6,0,,98*,62.6,,,2021,
Shikhar Dhawan,11,16,,,,10013,,,DC,Delhi Capitals,10013,,,16,,587,471,,124.62,,,,,,,,,,63,16,63.0,16.0,15,1,39.13,3,0,,92,39.13,,,2021,
Glenn Maxwell,28,15,,,,10013,,,RCB,Royal Challengers Bangalore,10013,,,14,,513,356,,144.1,,,,,,,,,,48,21,48.0,21.0,12,2,42.75,6,0,,78,42.75,,,2021,
Sanju Samson,190,14,,,,10013,,,RR,Rajasthan Royals,10013,,,14,,484,354,,136.72,,,,,,,,,,45,17,45.0,17.0,12,2,40.33,2,1,,119,40.33,,,2021,
Prithvi Shaw,51,15,,,,10013,,,DC,Delhi Capitals,10013,,,15,,479,301,,159.13,,,,,,,,,,56,18,56.0,18.0,15,0,31.93,4,0,,82,31.93,,,2021,
Shubman Gill,62,17,,,,10013,,,KKR,Kolkata Knight Riders,10013,,,17,,478,402,,118.9,,,,,,,,,,50,12,50.0,12.0,17,0,28.11,3,0,,57,28.11,,,2021,
Mayank Agarwal,55,12,,,,10013,,,PBKS,Punjab Kings,10013,,,12,,441,314,,140.44,,,,,,,,,,42,18,42.0,18.0,11,1,40.09,4,0,,99*,40.09,,,2021,
Rishabh Pant,18,16,,,,10013,,,DC,Delhi Capitals,10013,,,16,,419,326,,128.52,,,,,,,,,,42,10,42.0,10.0,12,4,34.91,3,0,,58*,34.91,,,2021,
Devdutt Padikkal,200,14,,,,10013,,,RCB,Royal Challengers Bangalore,10013,,,14,,411,328,,125.3,,,,,,,,,,44,14,44.0,14.0,13,1,31.61,1,1,,101*,31.61,,,2021,
Virat Kohli,2,15,,,,10013,,,RCB,Royal Challengers Bangalore,10013,,,15,,405,339,,119.46,,,,,,,,,,43,9,43.0,9.0,14,1,28.92,3,0,,72*,28.92,,,2021,
Rahul Tripathi,188,17,,,,10013,,,KKR,Kolkata Knight Riders,10013,,,16,,397,283,,140.28,,,,,,,,,,41,11,41.0,11.0,14,2,28.35,2,0,,74*,28.35,,,2021,
Nitish Rana,148,17,,,,10013,,,KKR,Kolkata Knight Riders,10013,,,16,,383,314,,121.97,,,,,,,,,,34,17,34.0,17.0,13,3,29.46,2,0,,80,29.46,,,2021,
Rohit Sharma,6,13,,,,10013,,,MI,Mumbai Indians,10013,,,13,,381,299,,127.42,,,,,,,,,,33,14,33.0,14.0,13,0,29.3,1,0,,63,29.3,,,2021,
Venkatesh Iyer,584,10,,,,10013,,,KKR,Kolkata Knight Riders,10013,,,10,,370,288,,128.47,,,,,,,,,,37,14,37.0,14.0,9,1,41.11,4,0,,67,41.11,,,2021,
Moeen Ali,206,15,,,,10013,,,CSK,Chennai Super Kings,10013,,,15,,357,260,,137.3,,,,,,,,,,31,19,31.0,19.0,14,1,25.5,1,0,,58,25.5,,,2021,
Suryakumar Yadav,174,14,,,,10013,,,MI,Mumbai Indians,10013,,,14,,317,221,,143.43,,,,,,,,,,40,10,40.0,10.0,14,0,22.64,2,0,,82,22.64,,,2021,
AB de Villiers,198,15,,,,10013,,,RCB,Royal Challengers Bangalore,10013,,,14,,313,211,,148.34,,,,,,,,,,23,16,23.0,16.0,10,4,31.3,2,0,,76*,31.3,,,2021,
Quinton de Kock,170,11,,,,10013,,,MI,Mumbai Indians,10013,,,11,,297,256,,116.01,,,,,,,,,,29,7,29.0,7.0,10,1,29.7,2,0,,70*,29.7,,,2021,
Manish Pandey,16,8,,,,10013,,,SRH,Sunrisers Hyderabad,10013,,,8,,292,236,,123.72,,,,,,,,,,21,10,21.0,10.0,6,2,48.66,3,0,,69*,48.66,,,2021,
Kane Williamson,65,10,,,,10013,,,SRH,Sunrisers Hyderabad,10013,,,10,,266,235,,113.19,,,,,,,,,,29,2,29.0,2.0,6,4,44.33,2,0,,66*,44.33,,,2021,
Ambati Rayudu,60,16,,,,10013,,,CSK,Chennai Super Kings,10013,,,13,,257,170,,151.17,,,,,,,,,,16,17,16.0,17.0,9,4,28.55,2,0,,72*,28.55,,,2021,
Jos Buttler,182,7,,,,10013,,,RR,Rajasthan Royals,10013,,,7,,254,166,,153.01,,,,,,,,,,27,13,27.0,13.0,7,0,36.28,0,1,,124,36.28,,,2021,
Yashasvi Jaiswal,533,10,,,,10013,,,RR,Rajasthan Royals,10013,,,10,,249,168,,148.21,,,,,,,,,,32,10,32.0,10.0,10,0,24.9,1,0,,50,24.9,,,2021,
Jonny Bairstow,216,7,,,,10013,,,SRH,Sunrisers Hyderabad,10013,,,7,,248,175,,141.71,,,,,,,,,,20,15,20.0,15.0,6,1,41.33,2,0,,63*,41.33,,,2021,
Kieron Pollard,166,14,,,,10013,,,MI,Mumbai Indians,10013,,,13,,245,165,,148.48,,,,,,,,,,16,16,16.0,16.0,8,5,30.62,1,0,,87*,30.62,,,2021,
Shimron Hetmyer,210,14,,,,10013,,,DC,Delhi Capitals,10013,,,13,,242,144,,168.05,,,,,,,,,,19,12,19.0,12.0,7,6,34.57,1,0,,53*,34.57,,,2021,
Ishan Kishan,164,10,,,,10013,,,MI,Mumbai Indians,10013,,,10,,241,180,,133.88,,,,,,,,,,21,10,21.0,10.0,9,1,26.77,2,0,,84,26.77,,,2021,
Shivam Dube,211,9,,,,10013,,,RR,Rajasthan Royals,10013,,,9,,230,193,,119.17,,,,,,,,,,18,10,18.0,10.0,8,1,28.75,1,0,,64*,28.75,,,2021,
Ravindra Jadeja,46,16,,,,10013,,,CSK,Chennai Super Kings,10013,,,12,,227,156,,145.51,,,,,,,,,,19,9,19.0,9.0,3,9,75.66,1,0,,62*,75.66,,,2021,
Dinesh Karthik,13,17,,,,10013,,,KKR,Kolkata Knight Riders,10013,,,15,,223,170,,131.17,,,,,,,,,,22,7,22.0,7.0,10,5,22.3,0,0,,40,22.3,,,2021,
David Warner,214,8,,,,10013,,,SRH,Sunrisers Hyderabad,10013,,,8,,195,181,,107.73,,,,,,,,,,15,6,15.0,6.0,8,0,24.37,2,0,,57,24.37,,,2021,
Chris Gayle,126,10,,,,10013,,,PBKS,Punjab Kings,10013,,,10,,193,154,,125.32,,,,,,,,,,21,8,21.0,8.0,9,1,21.44,0,0,,46,21.44,,,2021,
K.S Bharat,365,8,,,,10013,,,RCB,Royal Challengers Bangalore,10013,,,7,,191,156,,122.43,,,,,,,,,,10,8,10.0,8.0,5,2,38.2,1,0,,78*,38.2,,,2021,
Andre Russell,141,10,,,,10013,,,KKR,Kolkata Knight Riders,10013,,,9,,183,120,,152.5,,,,,,,,,,14,14,14.0,14.0,7,2,26.14,1,0,,54,26.14,,,2021,
Shreyas Iyer,12,8,,,,10013,,,DC,Delhi Capitals,10013,,,8,,175,171,,102.33,,,,,,,,,,7,5,7.0,5.0,5,3,35.0,0,0,,47*,35.0,,,2021,
Deepak Hooda,215,12,,,,10013,,,PBKS,Punjab Kings,10013,,,11,,160,123,,130.08,,,,,,,,,,9,9,9.0,9.0,10,1,16.0,1,0,,64,16.0,,,2021,
Suresh Raina,106,12,,,,10013,,,CSK,Chennai Super Kings,10013,,,11,,160,128,,125.0,,,,,,,,,,13,9,13.0,9.0,9,2,17.77,1,0,,54,17.77,,,2021,
Rahul Tewatia,120,14,,,,10013,,,RR,Rajasthan Royals,10013,,,11,,155,147,,105.44,,,,,,,,,,11,6,11.0,6.0,10,1,15.5,0,0,,44,15.5,,,2021,
Shahrukh Khan,590,11,,,,10013,,,PBKS,Punjab Kings,10013,,,10,,153,114,,134.21,,,,,,,,,,9,10,9.0,10.0,7,3,21.85,0,0,,47,21.85,,,2021,
Steve Smith,0,8,,,,10013,,,DC,Delhi Capitals,10013,,,7,,152,135,,112.59,,,,,,,,,,13,2,13.0,2.0,6,1,25.33,0,0,,39,25.33,,,2021,
Evin Lewis,163,5,,,,10013,,,RR,Rajasthan Royals,10013,,,5,,151,93,,162.36,,,,,,,,,,18,7,18.0,7.0,5,0,30.2,1,0,,58,30.2,,,2021,
Jason Roy,313,5,,,,10013,,,SRH,Sunrisers Hyderabad,10013,,,5,,150,121,,123.96,,,,,,,,,,21,1,21.0,1.0,5,0,30.0,1,0,,60,30.0,,,2021,
Aiden Markram,287,6,,,,10013,,,PBKS,Punjab Kings,10013,,,6,,146,119,,122.68,,,,,,,,,,12,4,12.0,4.0,5,1,29.2,0,0,,42,29.2,,,2021,
Krunal Pandya,17,13,,,,10013,,,MI,Mumbai Indians,10013,,,12,,143,123,,116.26,,,,,,,,,,10,6,10.0,6.0,10,2,14.3,0,0,,39,14.3,,,2021,
Eoin Morgan,308,17,,,,10013,,,KKR,Kolkata Knight Riders,10013,,,16,,133,139,,95.68,,,,,,,,,,8,6,8.0,6.0,12,4,11.08,0,0,,47*,11.08,,,2021,
Wriddhiman Saha,225,9,,,,10013,,,SRH,Sunrisers Hyderabad,10013,,,9,,131,140,,93.57,,,,,,,,,,7,5,7.0,5.0,9,0,14.55,0,0,,44,14.55,,,2021,
Hardik Pandya,54,12,,,,10013,,,MI,Mumbai Indians,10013,,,11,,127,112,,113.39,,,,,,,,,,11,5,11.0,5.0,9,2,14.11,0,0,,40*,14.11,,,2021,
David Miller,128,9,,,,10013,,,RR,Rajasthan Royals,10013,,,8,,124,113,,109.73,,,,,,,,,,11,3,11.0,3.0,5,3,24.8,1,0,,62,24.8,,,2021,
Robin Uthappa,153,4,,,,10013,,,CSK,Chennai Super Kings,10013,,,4,,115,84,,136.9,,,,,,,,,,8,5,8.0,5.0,4,0,28.75,1,0,,63,28.75,,,2021,
Saurabh Tiwary,540,5,,,,10013,,,MI,Mumbai Indians,10013,,,4,,115,97,,118.55,,,,,,,,,,10,2,10.0,2.0,2,2,57.5,1,0,,50*,57.5,,,2021,
MS Dhoni,57,16,,,,10013,,,CSK,Chennai Super Kings,10013,,,11,,114,107,,106.54,,,,,,,,,,12,3,12.0,3.0,7,4,16.28,0,0,,18*,16.28,,,2021,
Abdul Samad,525,11,,,,10013,,,SRH,Sunrisers Hyderabad,10013,,,10,,111,87,,127.58,,,,,,,,,,4,8,4.0,8.0,9,1,12.33,0,0,,28,12.33,,,2021,
Abhishek Sharma,212,8,,,,10013,,,SRH,Sunrisers Hyderabad,10013,,,7,,98,75,,130.66,,,,,,,,,,7,4,7.0,4.0,6,1,16.33,0,0,,33,16.33,,,2021,
Mahipal Lomror,184,4,,,,10013,,,RR,Rajasthan Royals,10013,,,4,,94,73,,128.76,,,,,,,,,,3,6,3.0,6.0,3,1,31.33,0,0,,43,31.33,,,2021,
Pat Cummins,33,7,,,,10013,,,KKR,Kolkata Knight Riders,10013,,,5,,93,56,,166.07,,,,,,,,,,5,8,5.0,8.0,3,2,31.0,1,0,,66*,31.0,,,2021,
Riyan Parag,189,11,,,,10013,,,RR,Rajasthan Royals,10013,,,10,,93,83,,112.04,,,,,,,,,,6,4,6.0,4.0,8,2,11.62,0,0,,25,11.62,,,2021,
Marcus Stoinis,23,10,,,,10013,,,DC,Delhi Capitals,10013,,,7,,89,72,,123.61,,,,,,,,,,11,1,11.0,1.0,4,3,22.25,0,0,,27*,22.25,,,2021,
Jason Holder,263,8,,,,10013,,,SRH,Sunrisers Hyderabad,10013,,,7,,85,72,,118.05,,,,,,,,,,2,6,2.0,6.0,6,1,14.16,0,0,,47*,14.16,,,2021,
Nicholas Pooran,136,12,,,,10013,,,PBKS,Punjab Kings,10013,,,11,,85,76,,111.84,,,,,,,,,,3,5,3.0,5.0,11,0,7.72,0,0,,32,7.72,,,2021,
Rashid Khan,218,14,,,,10013,,,SRH,Sunrisers Hyderabad,10013,,,10,,83,69,,120.28,,,,,,,,,,9,2,9.0,2.0,8,2,10.37,0,0,,22,10.37,,,2021,
Priyam Garg,528,5,,,,10013,,,SRH,Sunrisers Hyderabad,10013,,,5,,72,74,,97.29,,,,,,,,,,2,3,2.0,3.0,5,0,14.4,0,0,,29,14.4,,,2021,
Rajat Patidar,597,4,,,,10013,,,RCB,Royal Challengers Bangalore,10013,,,4,,71,62,,114.51,,,,,,,,,,3,3,3.0,3.0,4,0,17.75,0,0,,31,17.75,,,2021,
Lalit Yadav,538,7,,,,10013,,,DC,Delhi Capitals,10013,,,5,,68,73,,93.15,,,,,,,,,,7,0,7.0,0.0,2,3,34.0,0,0,,22*,34.0,,,2021,
Chris Morris,112,11,,,,10013,,,RR,Rajasthan Royals,10013,,,7,,67,49,,136.73,,,,,,,,,,2,5,2.0,5.0,5,2,13.4,0,0,,36*,13.4,,,2021,
Kyle Jamieson,382,9,,,,10013,,,RCB,Royal Challengers Bangalore,10013,,,7,,65,55,,118.18,,,,,,,,,,5,3,5.0,3.0,4,3,16.25,0,0,,16*,16.25,,,2021,
Harpreet Brar,130,7,,,,10013,,,PBKS,Punjab Kings,10013,,,5,,64,58,,110.34,,,,,,,,,,3,2,3.0,2.0,0,5,0.0,0,0,,25*,0.0,,,2021,
Sunil Narine,156,14,,,,10013,,,KKR,Kolkata Knight Riders,10013,,,10,,62,47,,131.91,,,,,,,,,,3,5,3.0,5.0,8,2,7.75,0,0,,26,7.75,,,2021,
Shahbaz Ahmed,523,11,,,,10013,,,RCB,Royal Challengers Bangalore,10013,,,7,,59,53,,111.32,,,,,,,,,,4,2,4.0,2.0,7,0,8.42,0,0,,14,8.42,,,2021,
Harshal Patel,114,15,,,,10013,,,RCB,Royal Challengers Bangalore,10013,,,8,,59,46,,128.26,,,,,,,,,,6,2,6.0,2.0,4,4,14.75,0,0,,31,14.75,,,2021,
Vijay Shankar,61,7,,,,10013,,,SRH,Sunrisers Hyderabad,10013,,,5,,58,52,,111.53,,,,,,,,,,1,3,1.0,3.0,5,0,11.6,0,0,,28,11.6,,,2021,
Sam Curran,138,9,,,,10013,,,CSK,Chennai Super Kings,10013,,,4,,56,29,,193.1,,,,,,,,,,5,3,5.0,3.0,3,1,18.66,0,0,,34,18.66,,,2021,
Kedar Jadhav,58,6,,,,10013,,,SRH,Sunrisers Hyderabad,10013,,,5,,55,52,,105.76,,,,,,,,,,2,2,2.0,2.0,4,1,13.75,0,0,,19,13.75,,,2021,
Chris Lynn,27,1,,,,10013,,,MI,Mumbai Indians,10013,,,1,,49,35,,140.0,,,,,,,,,,4,3,4.0,3.0,1,0,49.0,0,0,,49,49.0,,,2021,
Shakib Al Hasan,222,8,,,,10013,,,KKR,Kolkata Knight Riders,10013,,,6,,47,48,,97.91,,,,,,,,,,3,1,3.0,1.0,5,1,9.4,0,0,,26,9.4,,,2021,
Dwayne Bravo,93,11,,,,10013,,,CSK,Chennai Super Kings,10013,,,3,,47,18,,261.11,,,,,,,,,,3,4,3.0,4.0,1,2,47.0,0,0,,23,47.0,,,2021,
Ravichandran Ashwin,45,13,,,,10013,,,DC,Delhi Capitals,10013,,,5,,44,42,,104.76,,,,,,,,,,2,1,2.0,1.0,3,2,14.66,0,0,,20*,14.66,,,2021,
Manan Vohra,185,4,,,,10013,,,RR,Rajasthan Royals,10013,,,4,,42,39,,107.69,,,,,,,,,,5,2,5.0,2.0,4,0,10.5,0,0,,14,10.5,,,2021,
Liam Livingstone,183,5,,,,10013,,,RR,Rajasthan Royals,10013,,,5,,42,41,,102.43,,,,,,,,,,3,1,3.0,1.0,5,0,8.4,0,0,,25,8.4,,,2021,
Jaydev Unadkat,180,6,,,,10013,,,RR,Rajasthan Royals,10013,,,3,,41,29,,141.37,,,,,,,,,,3,2,3.0,2.0,2,1,20.5,0,0,,24,20.5,,,2021,
Axar Patel,110,12,,,,10013,,,DC,Delhi Capitals,10013,,,6,,40,46,,86.95,,,,,,,,,,2,1,2.0,1.0,5,1,8.0,0,0,,12,8.0,,,2021,
Mohammad Nabi,217,3,,,,10013,,,SRH,Sunrisers Hyderabad,10013,,,3,,34,20,,170.0,,,,,,,,,,3,2,3.0,2.0,3,0,11.33,0,0,,17,11.33,,,2021,
Jayant Yadav,165,5,,,,10013,,,MI,Mumbai Indians,10013,,,3,,34,26,,130.76,,,,,,,,,,2,1,2.0,1.0,2,1,17.0,0,0,,23,17.0,,,2021,
Bhuvneshwar Kumar,15,11,,,,10013,,,SRH,Sunrisers Hyderabad,10013,,,7,,34,30,,113.33,,,,,,,,,,3,0,3.0,0.0,1,6,34.0,0,0,,14*,34.0,,,2021,
Chris Jordan,519,4,,,,10013,,,PBKS,Punjab Kings,10013,,,2,,32,21,,152.38,,,,,,,,,,1,3,1.0,3.0,2,0,16.0,0,0,,30,16.0,,,2021,
Moises Henriques,133,5,,,,10013,,,PBKS,Punjab Kings,10013,,,4,,31,32,,96.87,,,,,,,,,,0,1,0.0,1.0,2,2,15.5,0,0,,14,15.5,,,2021,
Washington Sundar,20,6,,,,10013,,,RCB,Royal Challengers Bangalore,10013,,,4,,31,47,,65.95,,,,,,,,,,2,0,2.0,0.0,4,0,7.75,0,0,,10,7.75,,,2021,
Dawid Malan,573,1,,,,10013,,,PBKS,Punjab Kings,10013,,,1,,26,26,,100.0,,,,,,,,,,1,1,1.0,1.0,1,0,26.0,0,0,,26,26.0,,,2021,
Glenn Phillips,635,3,,,,10013,,,RR,Rajasthan Royals,10013,,,3,,26,33,,78.78,,,,,,,,,,1,2,1.0,2.0,2,1,13.0,0,0,,14*,13.0,,,2021,
Ripal Patel,580,2,,,,10013,,,DC,Delhi Capitals,10013,,,2,,25,27,,92.59,,,,,,,,,,3,0,3.0,0.0,1,1,25.0,0,0,,18,25.0,,,2021,
Shivam Mavi,154,9,,,,10013,,,KKR,Kolkata Knight Riders,10013,,,2,,25,20,,125.0,,,,,,,,,,2,2,2.0,2.0,2,0,12.5,0,0,,20,12.5,,,2021,
Tom Curran,309,3,,,,10013,,,DC,Delhi Capitals,10013,,,2,,21,17,,123.52,,,,,,,,,,2,0,2.0,0.0,1,1,21.0,0,0,,21,21.0,,,2021,
Mohammed Siraj,63,15,,,,10013,,,RCB,Royal Challengers Bangalore,10013,,,4,,20,26,,76.92,,,,,,,,,,1,1,1.0,1.0,1,3,20.0,0,0,,12*,20.0,,,2021,
Prabhsimran Singh,137,2,,,,10013,,,PBKS,Punjab Kings,10013,,,2,,19,23,,82.6,,,,,,,,,,1,1,1.0,1.0,2,0,9.5,0,0,,12,9.5,,,2021,
Nathan Ellis,633,3,,,,10013,,,PBKS,Punjab Kings,10013,,,2,,18,16,,112.5,,,,,,,,,,0,1,0.0,1.0,1,1,18.0,0,0,,12,18.0,,,2021,
Lockie Ferguson,69,8,,,,10013,,,KKR,Kolkata Knight Riders,10013,,,3,,18,11,,163.63,,,,,,,,,,1,1,1.0,1.0,0,3,0.0,0,0,,18*,0.0,,,2021,
Anmolpreet Singh,159,1,,,,10013,,,MI,Mumbai Indians,10013,,,1,,16,14,,114.28,,,,,,,,,,2,1,2.0,1.0,1,0,16.0,0,0,,16,16.0,,,2021,
Adam Milne,157,4,,,,10013,,,MI,Mumbai Indians,10013,,,3,,16,17,,94.11,,,,,,,,,,0,1,0.0,1.0,2,1,8.0,0,0,,15,8.0,,,2021,
Chetan Sakariya,592,14,,,,10013,,,RR,Rajasthan Royals,10013,,,6,,16,25,,64.0,,,,,,,,,,2,0,2.0,0.0,5,1,3.2,0,0,,7,3.2,,,2021,
Jasprit Bumrah,9,14,,,,10013,,,MI,Mumbai Indians,10013,,,7,,16,17,,94.11,,,,,,,,,,2,0,2.0,0.0,2,5,8.0,0,0,,5*,8.0,,,2021,
Mandeep Singh,132,1,,,,10013,,,PBKS,Punjab Kings,10013,,,1,,15,14,,107.14,,,,,,,,,,2,0,2.0,0.0,1,0,15.0,0,0,,15,15.0,,,2021,
Chris Woakes,314,3,,,,10013,,,DC,Delhi Capitals,10013,,,1,,15,11,,136.36,,,,,,,,,,2,0,2.0,0.0,0,1,0.0,0,0,,15*,0.0,,,2021,
Jhye Richardson,59,3,,,,10013,,,PBKS,Punjab Kings,10013,,,2,,15,24,,62.5,,,,,,,,,,2,0,2.0,0.0,2,0,7.5,0,0,,15,7.5,,,2021,
Murugan Ashwin,135,3,,,,10013,,,PBKS,Punjab Kings,10013,,,2,,15,24,,62.5,,,,,,,,,,1,0,1.0,0.0,2,0,7.5,0,0,,9,7.5,,,2021,
Virat Singh,527,3,,,,10013,,,SRH,Sunrisers Hyderabad,10013,,,2,,15,26,,57.69,,,,,,,,,,1,0,1.0,0.0,2,0,7.5,0,0,,11,7.5,,,2021,
