StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Most_4s,Most_6s,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,Year,ClientPlayerID
Mandeep Singh,132,14,,,,10010,,,RCB,Royal Challengers Bangalore,10010,,,13,,252,186,,135.48,,,,,,,,,,16,11,16.0,11.0,10,3,25.2,0,0,,47*,25.2,,,2018,
Prithvi Shaw,51,9,,,,10010,,,DC,Delhi Capitals,10010,,,9,,245,160,,153.12,,,,,,,,,,27,10,27.0,10.0,9,0,27.22,2,0,,65,27.22,,,2018,
Shakib Al Hasan,222,17,,,,10010,,,SRH,Sunrisers Hyderabad,10010,,,13,,239,197,,121.31,,,,,,,,,,26,5,26.0,5.0,11,2,21.72,0,0,,35,21.72,,,2018,
Krunal Pandya,17,14,,,,10010,,,MI,Mumbai Indians,10010,,,13,,228,157,,145.22,,,,,,,,,,22,10,22.0,10.0,10,3,22.8,0,0,,41*,22.8,,,2018,
Rahul Tripathi,188,12,,,,10010,,,RR,Rajasthan Royals,10010,,,12,,226,167,,135.32,,,,,,,,,,18,8,18.0,8.0,9,3,25.11,1,0,,80*,25.11,,,2018,
Vijay Shankar,61,13,,,,10010,,,DC,Delhi Capitals,10010,,,11,,212,148,,143.24,,,,,,,,,,11,11,11.0,11.0,4,7,53.0,1,0,,54*,53.0,,,2018,
Shubman Gill,62,13,,,,10010,,,KKR,Kolkata Knight Riders,10010,,,11,,203,139,,146.04,,,,,,,,,,22,5,22.0,5.0,6,5,33.83,1,0,,57*,33.83,,,2018,
Quinton de Kock,170,8,,,,10010,,,RCB,Royal Challengers Bangalore,10010,,,8,,201,162,,124.07,,,,,,,,,,20,8,20.0,8.0,8,0,25.12,1,0,,53,25.12,,,2018,
Ben Stokes,177,13,,,,10010,,,RR,Rajasthan Royals,10010,,,13,,196,161,,121.73,,,,,,,,,,13,6,13.0,6.0,12,1,16.33,0,0,,45,16.33,,,2018,
Glenn Maxwell,28,12,,,,10010,,,DC,Delhi Capitals,10010,,,12,,169,120,,140.83,,,,,,,,,,14,9,14.0,9.0,12,0,14.08,0,0,,47,14.08,,,2018,
Faf du Plessis,94,6,,,,10010,,,CSK,Chennai Super Kings,10010,,,6,,162,129,,125.58,,,,,,,,,,17,6,17.0,6.0,5,1,32.4,1,0,,67*,32.4,,,2018,
Parthiv Patel,48,6,,,,10010,,,RCB,Royal Challengers Bangalore,10010,,,6,,153,109,,140.36,,,,,,,,,,20,4,20.0,4.0,5,1,30.6,1,0,,53,30.6,,,2018,
Alex Hales,0,6,,,,10010,,,SRH,Sunrisers Hyderabad,10010,,,6,,148,118,,125.42,,,,,,,,,,13,6,13.0,6.0,6,0,24.66,0,0,,45,24.66,,,2018,
Dwayne Bravo,93,16,,,,10010,,,CSK,Chennai Super Kings,10010,,,10,,141,91,,154.94,,,,,,,,,,8,10,8.0,10.0,4,6,35.25,1,0,,68,35.25,,,2018,
Aaron Finch,3,10,,,,10010,,,PBKS,Punjab Kings,10010,,,9,,134,100,,134.0,,,,,,,,,,6,8,6.0,8.0,8,1,16.75,0,0,,46,16.75,,,2018,
Kieron Pollard,166,9,,,,10010,,,MI,Mumbai Indians,10010,,,8,,133,100,,133.0,,,,,,,,,,10,7,10.0,7.0,7,1,19.0,1,0,,50,19.0,,,2018,
Colin de Grandhomme,68,9,,,,10010,,,RCB,Royal Challengers Bangalore,10010,,,8,,131,84,,155.95,,,,,,,,,,4,10,4.0,10.0,5,3,26.2,0,0,,40,26.2,,,2018,
Brendon McCullum,0,6,,,,10010,,,RCB,Royal Challengers Bangalore,10010,,,6,,127,88,,144.31,,,,,,,,,,16,6,16.0,6.0,6,0,21.16,0,0,,43,21.16,,,2018,
Krishnappa Gowtham,179,15,,,,10010,,,RR,Rajasthan Royals,10010,,,13,,126,64,,196.87,,,,,,,,,,9,9,9.0,9.0,9,4,14.0,0,0,,33*,14.0,,,2018,
