Price_Cr
5.0
2.6
0.5
10.75
2.0
0.2
2.8
4.6
0.5
1.9
8.0
4.4
1.9
4.0
2.4
7.25
9.0
4.0
0.2
8.25
0.2
0.2
1.0
4.0
0.3
8.25
10.75
9.25
2.0
3.2
2.0
3.8
5.4
1.7
8.5
0.2
15.0
2.0
1.7
0.5
2.4
0.2
9.25
2.0
0.75
4.0
11.0
0.2
0.2
11.0
0.7
18.0
0.2
0.65
2.6
1.0
0.5
3.0
0.2
2.0
1.1
8.0
7.5
0.45
11.5
2.6
0.2
6.25
0.2
0.2
5.5
0.0
1.9
0.5
0.2
5.0
3.8
0.2
5.5
2.8
10.0
3.0
1.9
2.0
0.2
0.5
5.4
1.0
4.0
4.4
2.0
1.0
6.75
15.25
10.75
0.75
0.2
2.0
1.3
7.2
2.0
1.7
0.2
4.2
3.0
2.4
11.5
0.5
0.2
0.2
3.8
6.0
0.3
2.0
0.2
7.75
2.6
7.2
4.2
4.2
4.8
6.25
10.0
0.2
3.0
0.2
4.8
9.0
1.5
3.0
2.6
7.75
14.0
2.8
10.75
4.2
1.2
0.2
4.2
5.25
0.2
8.5
6.0
7.0
0.2
3.2
0.2
8.75
11.0
0.3
0.2
10.75
0.2
2.0
6.2
7.25
0.3
3.0
4.2
8.0
0.2
7.75
9.5
0.65
0.95
0.2
1.8
12.0
8.0
4.0
5.25
0.5
1.2
3.2
0.5
0.2
1.0
10.75
0.7
10.75
2.0
0.5
1.0
0.5
10.0
50.0
0.2
2.8
10.0
1.5
6.0
7.4
0.2
2.0
0.2
15.0
1.5
0.2
1.6
2.8
10.75
0.2
5.5
16.0
0.2
6.0
0.3
6.0
1.0
3.0
6.75
10.0
4.0
4.0
21.0
23.0
10.0
2.0
0.2
0.2
1.3
8.0
2.4
9.25
9.2
8.75
14.0
2.0
8.0
0.5
1.9
15.0
0.75
2.4
0.2
8.25
0.75
1.0
2.0
0.2
0.5
0.2
6.5
8.0
4.0
0.2
0.75
0.95
15.75
2.0
1.5
2.6
2.4
0.2
20.0
13.25
0.3
4.0
0.2
6.25
0.3
0.7
2.6
0.2
18.5
12.5
0.5
0.5
11.0
1.4
0.2
4.0
6.2
2.0
0.2
4.8
6.5
0.2
0.5
0.2
6.0
0.5
2.2
1.5
1.0
0.2
0.2
0.2
1.2
0.2
1.5
3.2
0.2
0.2
2.4
11.5
11.0
8.0
5.5
1.5
0.5
1.6
1.5
0.2
6.0
7.0
3.2
4.0
2.0
1.4
0.2
0.75
3.2
1.0
0.2
1.0
0.2
0.6
0.2
18.5
8.0
0.5
4.0
0.2
0.4
2.0
5.4
5.25
1.8
2.5
4.0
1.1
2.0
0.2
1.0
0.2
8.75
6.5
0.2
0.2
7.75
4.2
9.2
2.0
0.2
7.75
4.4
0.5
9.0
3.4
2.4
6.4
4.0
2.4
0.75
13.0
9.0
0.5
0.0
18.0
3.0
2.8
5.25
30.0
1.5
0.0
4.4
2.6
3.0
3.0
0.65
1.7
14.0
11.5
18.0
2.8
4.2
5.0
3.0
0.2
0.2
15.0
0.2
2.6
7.2
12.25
7.75
1.9
1.7
2.0
8.0
0.2
0.2
5.25
3.4
1.5
10.0
7.0
2.6
16.0
2.0
1.5
7.0
0.2
12.5
0.55
0.5
0.6
4.0
4.2
1.6
5.75
11.0
0.0
11.0
0.2
8.25
8.25
0.75
2.0
4.2
1.0
6.5
0.2
7.75
